序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,双低,老式双低,老式排名,新式双低,新式排名,MA20乖离,热门度,转债名称
160,哈尔转债!,128073,2019/9/11,哈尔斯,2615,其他,家居用品,119.9,-0.27%,0.15%,6.58,-0.15%,91,25.50%,115.3,5.72,3.49,115.03,4.20%,转股中,3.96年,1.96年,11.10%,12.70%,3,27,-0.99%,-1.67%,-7.33%,-7.50%,89.52,90.53,0.78,AA-,6.50%,124.10 ,124.8,33,34.2,40,8.80%,36,哈尔转债!
84,海大转债,128102,2020/4/16,海大集团,2311,农业,畜牧业,203,-1.65%,-0.69%,71.05,-2.40%,245,4.30%,114.1,34.74,11.43,204.52,-0.70%,20天,5.53年,4.53年,2.50%,5.20%,28,1123,-10.00%,-10.40%,-12.20%,-12.40%,86.06,90.93,0.97,AA+,4.31%,202.30 ,201.5,271,110.6,271,2.30%,12,海大转债
189,海环转债!,113532,2019/4/24,海峡环保,603817,城市公用,三废处理,109.39,-0.19%,-0.27%,6.66,-1.04%,0.8,0.20%,112.9,7.69,1.79,86.61,26.30%,转股中,4.57年,2.57年,15.30%,13.30%,4.6,30,0.71%,0.19%,-2.05%,-2.29%,92.29,93.57,0.45,AA,4.40%,135.69 ,132.2,105,38.6,82,-2.30%,27,海环转债!
239,海澜转债!,110045,2018/7/31,海澜之家,600398,服装纺织,服装行业,99.5,0.05%,-0.21%,6.62,-2.93%,2.9,0.10%,111.1,11.75,2.35,56.34,76.60%,转股中,3.85年,1.85年,10.30%,5.80%,29,286,2.94%,2.39%,1.25%,1.05%,94.14,95.43,0.05,AA+,4.20%,176.10 ,142.7,189,47.2,157,-2.20%,59,海澜转债!
138,海亮转债,128081,2019/12/16,海亮股份,2203,有色金属,铜金属,107.11,-0.08%,0.14%,8.61,0.12%,4.2,0.10%,115.2,9.76,1.87,88.22,21.40%,转股中,5.21年,3.21年,18.70%,16.50%,32,168,1.43%,0.90%,-0.96%,-1.17%,89.66,92.24,0.47,AA,4.51%,128.51 ,126,41,33.8,35,-2.30%,53,海亮转债
34,海容转债,113590,2020/7/27,海容冷链,603187,机械装备,通用设备,155.02,-0.42%,-1.64%,55.1,-2.18%,20,2.60%,115.6,36.39,5.59,151.42,2.40%,4月1天,5.81年,3.81年,5.70%,8.70%,5,87,-5.01%,-5.44%,-9.63%,-9.79%,80.94,80.54,0.94,AA-,6.61%,157.42 ,158.6,238,77.7,254,3.50%,4,海容转债
286,海印转债!,127003,2016/7/1,海印股份,861,商业零售,商场,120.21,-0.90%,-0.33%,3.55,-1.66%,8.6,1.10%,111.8,3,2.22,118.33,1.60%,转股中,1.76年,回售中,8.50%,10.00%,6.7,80,-4.08%,-5.24%,回售中,回售中,100.3,104.04,0.74,AA,4.29%,121.81 ,122.1,13,18,2,-2.40%,76,海印转债!
221,寒锐转债!!,123017,2018/12/24,寒锐钴业,300618,有色金属,小金属,135.457,-0.68%,0.67%,67.98,-0.01%,21,3.80%,110.8,57.4,10.33,118.43,14.40%,转股中,4.21年,2.21年,2.00%,2.30%,4,206,-4.75%,-5.18%,-10.80%,-11.00%,89.33,85.9,0.84,AA-,6.50%,149.86 ,152.5,228,63.2,231,-12.00%,13,寒锐转债!!
77,瀚蓝转债,110069,2020/5/7,瀚蓝环境,600323,城市公用,三废处理,159.55,-2.99%,2.35%,29.71,-0.70%,4.4,0.30%,113.5,20.2,3.32,147.08,8.50%,38天,5.59年,3.59年,4.40%,6.40%,9.9,228,-5.97%,-6.37%,-10.90%,-11.00%,87.54,90.2,0.91,AA+,4.31%,168.05 ,172,259,81.8,257,4.20%,7,瀚蓝转债
251,杭电转债!,113505,2018/3/27,杭电股份,603618,能源电力,电力设备,107.56,0.14%,-0.03%,6.12,0.33%,1.8,0.20%,112.3,7.14,1.69,85.71,25.50%,转股中,3.50年,1.50年,17.70%,15.20%,7.5,42,1.26%,0.61%,-2.70%,-3.02%,95.92,97.27,0.35,AA,4.40%,133.06 ,129.4,69,32.1,27,-1.70%,39,杭电转债!
259,航电转债!,110042,2018/1/15,中航电子,600372,航空航天,航空航天,119.48,-0.97%,-0.02%,16.99,-0.99%,221,30.30%,109.3,14.12,3.95,120.33,-0.70%,转股中,3.30年,1.30年,2.00%,2.40%,6.1,302,-2.72%,-3.22%,-9.80%,-10.10%,97.23,96.59,1,AAA,3.90%,118.78 ,118.6,4,21.4,5,-11.50%,9,航电转债!
13,航新转债,123061,2020/8/18,航新科技,300424,航空航天,航空航天,126.199,1.53%,1.84%,17.99,4.29%,38,12.20%,124.8,14.86,4.02,121.06,4.20%,4月25天,5.88年,3.88年,5.80%,7.00%,2.5,43,-0.19%,-0.89%,-4.56%,-4.76%,81.27,86.68,0.79,AA-,6.61%,130.40 ,131.3,92,44.7,139,4.20%,4,航新转债
291,航信转债!!,110031,2015/6/30,航天信息,600271,计算机及,软件开发,112.28,-0.15%,0.08%,17.66,-1.29%,3.3,0.10%,107,21.56,2.94,81.91,37.10%,转股中,0.77年,回售中,7.30%,6.00%,24,328,-6.08%,-7.68%,回售中,回售中,100.27,104.35,0.06,AAA,3.39%,149.38 ,142.6,188,38.3,81,-1.20%,14,航信转债!!
166,好客转债,113542,2019/8/23,好莱客,603898,其他,家居用品,126.05,-0.75%,0.83%,18.43,0.11%,6.8,0.90%,114.9,16.27,2.45,113.28,11.30%,转股中,4.90年,2.90年,10.60%,12.00%,6,57,-1.90%,-2.43%,-6.30%,-6.49%,91.02,93.91,0.72,AA,4.40%,137.35 ,138.8,158,44.9,140,-8.40%,19,好客转债
164,合兴转债!,128071,2019/9/16,合兴包装,2228,造纸包装,包装材料,127.12,1.05%,0.00%,5.45,1.30%,169,23.10%,114.8,4.28,2.15,127.34,-0.20%,转股中,4.95年,2.95年,9.30%,11.80%,5.9,64,-2.07%,-2.59%,-6.50%,-6.68%,90.76,93.65,0.8,AA,4.40%,126.92 ,126.9,52,33.3,31,18.60%,27,合兴转债!
186,核建转债!,113024,2019/4/26,中国核建,601611,建筑,建筑工程,106.65,-0.54%,-1.26%,7.91,-5.16%,9.3,0.30%,109.7,9.76,2.03,81.05,31.60%,转股中,4.59年,2.59年,14.30%,11.60%,30,210,0.63%,0.23%,-1.20%,-1.42%,93.25,92.82,0.35,AAA,3.90%,138.25 ,132.3,107,39,86,-8.10%,43,核建转债!
183,核能转债!,113026,2019/5/8,中国核电,601985,能源电力,核电,104.42,-0.11%,-0.51%,4.73,-2.07%,6.2,0.10%,109.8,6.08,1.47,77.8,34.20%,转股中,4.61年,2.61年,10.60%,8.20%,78,736,1.12%,0.71%,-0.39%,-0.62%,93.28,92.85,0.3,AAA,3.90%,138.62 ,131,87,37.8,76,2.60%,50,核能转债!
197,亨通转债!,110056,2019/4/16,亨通光电,600487,通信互联,通信设备,116.94,-0.20%,0.01%,15.97,-0.31%,1.3,0.10%,114.8,15.58,2.14,102.5,14.10%,转股中,4.53年,2.53年,5.50%,5.60%,17,312,-0.41%,-0.99%,-4.53%,-4.75%,92.82,96.09,0.6,AA+,4.20%,131.04 ,131.4,94,35.3,48,-2.80%,29,亨通转债!
235,横河转债!,123013,2018/8/20,横河模具,300539,机械装备,专用设备,402,3.61%,0.43%,9.11,6.43%,1758,1154%,115.2,9.13,4.13,99.78,303%,转股中,3.89年,1.89年,1.90%,1.90%,0.4,20,-27.80%,-28.30%,-32.30%,-32.30%,89.24,87.56,0.63,A+,7.60%,705.00 ,704.2,291,615,291,16.00%,15,横河转债!
90,红相转债,123044,2020/4/13,红相股份,300427,能源电力,电力设备,150.3,-2.20%,0.55%,28.5,-1.83%,68,7.70%,125.5,18.8,4.64,151.6,-0.90%,13天,5.52年,3.52年,5.70%,8.70%,5.9,102,-3.29%,-4.01%,-9.39%,-9.60%,83.39,89.24,0.9,AA-,6.61%,149.40 ,149,219,59.8,220,-4.90%,15,红相转债
20,宏川转债,128121,2020/8/7,宏川智慧,2930,交通运输,物流业,124.21,0.23%,0.17%,20.3,0.54%,7.1,0.90%,113.3,20.25,4.89,100.25,23.90%,4月22天,5.86年,3.86年,7.40%,7.50%,6.7,90,-1.58%,-1.98%,-4.39%,-4.56%,80.58,78.68,0.73,AA-,6.61%,148.11 ,148.2,212,67.6,234,-5.30%,3,宏川转债
103,宏辉转债,113565,2020/3/16,宏辉果蔬,603336,农业,农产品加,126.43,-0.71%,-0.24%,12.63,-1.10%,60,14.30%,118.2,10,4.64,126.3,0.10%,转股中,5.48年,3.48年,8.00%,10.20%,3.3,41,-1.25%,-1.81%,-5.25%,-5.44%,82.86,84.16,0.87,AA-,6.61%,126.53 ,126.6,46,42.4,120,-6.50%,18,宏辉转债
285,洪涛转债!,128013,2016/8/23,洪涛股份,2325,建筑,装饰工程,113.7,-0.24%,-0.15%,3.29,-0.60%,15,1.10%,109.8,3.1,1.33,106.13,7.10%,转股中,1.90年,回售中,29.20%,31.00%,12,41,-1.84%,-2.77%,回售中,回售中,100.3,97.85,0.64,AA-,6.39%,120.80 ,121.3,9,21,4,-2.50%,89,洪涛转债!
128,鸿达转债,128085,2020/1/8,鸿达兴业,2002,化工,化工,110.1,-0.07%,-0.44%,3.81,-1.04%,13,0.50%,124.8,3.92,1.4,97.19,13.30%,转股中,5.28年,3.28年,24.60%,23.90%,24,99,2.46%,1.65%,-1.58%,-1.81%,89.92,99.67,0.5,AA,4.51%,123.40 ,123,17,23.3,6,-3.90%,81,鸿达转债
241,湖广转债!,127007,2018/8/1,湖北广电,665,传媒娱乐,影视娱乐,112.8,0.01%,-1.15%,5.43,-2.16%,3.3,0.20%,112.3,5.58,0.81,97.31,15.90%,转股中,3.81年,1.81年,22.80%,22.20%,12,53,-0.12%,-0.71%,-4.62%,-4.87%,95.04,96.69,0.53,AA+,4.20%,128.70 ,128.3,62,31.6,26,-2.70%,18,湖广转债!
25,湖盐转债,110071,2020/7/31,湖南盐业,600929,食品饮料,食品饮料,115.01,0.23%,-0.52%,6.88,-0.43%,5.5,0.70%,115.2,6.6,2.5,104.24,10.30%,4月15天,5.84年,3.84年,11.40%,11.90%,7.2,63,0.03%,-0.43%,-2.57%,-2.74%,87.21,89.73,0.67,AA,4.51%,125.31 ,125.8,40,36,56,-2.70%,8,湖盐转债
18,沪工转债,113593,2020/8/10,上海沪工,603131,机械装备,通用设备,117.21,-0.22%,0.70%,20.25,0.70%,4.6,1.00%,121.6,21.32,5.31,94.98,23.40%,4月22天,5.87年,3.87年,6.20%,5.90%,4,64,0.64%,0.01%,-2.80%,-3.01%,77.91,79.63,0.69,A+,7.71%,140.61 ,139.4,165,59.8,221,-8.20%,4,沪工转债
15,花王转债,113595,2020/8/18,花王股份,603007,城市公用,生态环境,120.17,1.77%,2.35%,8.67,4.96%,134,34.20%,125.3,6.94,2.64,124.93,-3.80%,4月24天,5.87年,3.87年,11.40%,14.20%,3.3,29,0.73%,0.01%,-3.50%,-3.69%,80.88,86.99,0.83,AA-,6.61%,116.37 ,115.4,1,28.4,15,11.30%,16,花王转债
91,华安转债!,110067,2020/4/9,华安证券,600909,金融,证券行业,121.4,-0.50%,-0.42%,8.73,-1.47%,38,1.10%,110.5,8.67,2.33,100.69,20.60%,13天,5.52年,无权,8.90%,8.90%,28,316,-1.71%,-2.05%,无权,无权,无权,89.48,0.63,AAA,4.01%,142.00 ,142.1,183,52.6,188,0.40%,26,华安转债!
136,华锋转债!,128082,2020/1/6,华锋股份,2806,电子,元器件制,115.704,0.29%,0.49%,12.68,1.04%,1.7,0.40%,122,11.71,1.78,108.28,6.90%,转股中,5.25年,3.25年,15.80%,17.10%,3.5,22,1.04%,0.32%,-2.82%,-3.09%,82.05,83.78,0.76,A+,7.71%,122.60 ,123.1,18,39.3,93,-2.00%,54,华锋转债!
169,华森转债!,128069,2019/7/11,华森制药,2907,医药,化学制药,113.201,0.07%,0.32%,18.2,0.61%,4,1.20%,120,18.04,7.05,100.89,12.20%,转股中,4.80年,2.80年,4.10%,4.10%,3,73,1.25%,0.52%,-3.00%,-3.22%,86.31,89.69,0.65,AA-,6.50%,125.40 ,125.5,38,35.8,53,-0.60%,43,华森转债!
79,华体转债!,113574,2020/4/27,华体科技,603679,城市公用,城市公用,109.75,0.37%,0.75%,27.45,2.12%,2.9,1.30%,116.4,33.99,3.94,80.76,35.90%,32天,5.57年,3.57年,5.30%,4.30%,2.1,39,1.09%,0.55%,-1.30%,-1.53%,79.68,78.01,0.53,A+,7.71%,145.65 ,138.7,155,59.1,216,-4.20%,10,华体转债!
243,华通转债!,128040,2018/7/13,华通医药,2758,医药,医药商业,121.456,-0.45%,-1.26%,11.62,-2.52%,13,4.90%,112.3,11.29,3.93,102.92,18.00%,转股中,3.77年,1.77年,9.10%,9.40%,2.2,24,-2.09%,-2.67%,-8.29%,-8.54%,91.26,89.32,0.68,AA-,6.50%,139.46 ,140,168,48.7,167,1.30%,30,华通转债!
69,华统转债,128106,2020/5/8,华统股份,2840,农业,农产品加,132.6,-1.19%,0.84%,11.72,-0.42%,16,2.20%,113.2,9.39,1.98,124.81,6.20%,41天,5.59年,3.59年,10.50%,13.10%,5.5,52,-2.84%,-3.24%,-6.38%,-6.54%,88.17,89.14,0.82,AA,4.51%,138.80 ,140.4,170,51.2,180,-4.50%,7,华统转债
3,华阳转债,128125,2020/8/21,华阳国际,2949,建筑,建筑工程,135.5,-2.90%,0.29%,32.53,-3.01%,51,8.20%,118.5,25.79,5.55,126.13,7.40%,5月3天,5.90年,3.90年,7.10%,8.90%,4.5,64,-2.28%,-2.81%,-6.39%,-6.55%,80.42,82.09,0.87,AA-,6.61%,142.90 ,144.9,208,62.8,229,-4.20%,2,华阳转债
172,华钰转债!!,113027,2019/7/10,华钰矿业,601020,有色金属,锌铅镍锡,127.3,-1.24%,-0.72%,12.69,-2.31%,71,17.40%,114.9,10.17,3.2,124.78,2.00%,转股中,4.77年,2.77年,4.60%,5.80%,3.3,70,-2.16%,-2.70%,-6.89%,-7.08%,86.36,86.02,0.85,AA-,6.50%,129.30 ,129.8,74,43.5,129,-5.60%,47,华钰转债!!
219,华源转债!,128049,2018/12/20,华源控股,2787,造纸包装,包装材料,123,-1.60%,-0.34%,8.97,-2.39%,35,7.90%,115.2,7.42,1.94,120.89,1.70%,转股中,4.23年,2.23年,13.00%,15.70%,3.6,28,-1.57%,-2.20%,-7.02%,-7.27%,89.45,89.24,0.81,AA-,6.50%,124.70 ,125.1,36,35.7,51,4.80%,55,华源转债!
120,淮矿转债!,110065,2020/1/13,淮北矿业,600985,煤炭,煤炭开采,118,0.85%,-0.17%,9.69,1.04%,11,0.40%,111,9.33,1.08,103.86,13.60%,转股中,5.30年,3.30年,13.10%,13.60%,28,211,-1.17%,-1.54%,-3.74%,-3.93%,90.61,90.75,0.65,AAA,4.01%,131.60 ,132.1,104,41.4,111,3.40%,22,淮矿转债!
171,环境转债!,113028,2019/7/8,上海环境,601200,城市公用,三废处理,122,-0.84%,-0.26%,12.59,-1.10%,11,0.60%,110.8,10.36,1.71,121.53,0.40%,转股中,4.78年,2.78年,12.10%,14.70%,15,122,-2.03%,-2.43%,-5.53%,-5.72%,91.07,90.53,1,AAA,4.40%,122.40 ,122.5,15,31.4,24,-4.70%,10,环境转债!
58,火炬转债,113582,2020/6/23,火炬电子,603678,电子,元器件制,161.86,-1.14%,0.46%,40.02,-0.74%,30,3.10%,115.3,25.33,5.46,157.99,2.40%,2月28天,5.72年,3.72年,3.30%,5.20%,6,181,-5.85%,-6.28%,-10.50%,-10.60%,87.77,90.3,0.92,AA,4.51%,164.26 ,165.7,250,75.4,250,-1.20%,4,火炬转债
258,吉视转债!,113017,2018/1/15,吉视传媒,601929,传媒娱乐,影视娱乐,102.95,0.38%,-0.09%,2.31,1.32%,7,0.40%,109.8,2.95,1.09,78.31,31.50%,转股中,3.31年,1.31年,21.70%,17.00%,16,72,2.01%,1.44%,-0.27%,-0.60%,96.72,96.45,0.22,AA+,4.20%,134.45 ,127.6,58,30.9,20,0.80%,51,吉视转债!
272,济川转债!,110038,2017/11/29,济川药业,600566,医药,中药,118.1,-0.35%,0.15%,24.4,-0.37%,2.4,0.30%,108.3,24.27,3.5,100.54,17.50%,转股中,2.19年,0.19年,3.20%,3.20%,6.3,199,-3.93%,-4.60%,-43.50%,-44.00%,99.58,99.05,0.52,AA,4.29%,135.60 ,135.7,132,36.1,58,0.20%,19,济川转债!
4,佳力转债!,113597,2020/8/21,佳力图,603912,机械装备,专用设备,112.2,-0.02%,0.43%,20.16,0.80%,12,3.60%,124.5,23.4,5.34,86.15,30.20%,5月3天,5.90年,3.90年,6.90%,5.90%,3,44,1.81%,1.11%,-1.77%,-1.97%,80.9,86.31,0.52,AA-,6.61%,142.40 ,138.2,152,51.9,182,3.40%,3,佳力转债!
51,家悦转债,113584,2020/6/24,家家悦,603708,商业零售,超市,132.05,-1.23%,-0.91%,39.7,-3.17%,21,2.50%,115.3,37.97,8.33,104.56,26.30%,3月8天,5.75年,3.75年,2.70%,2.80%,6.5,242,-2.37%,-2.83%,-6.01%,-6.18%,87.68,90.2,0.67,AA,4.51%,158.35 ,159.5,242,69.3,239,-7.20%,3,家悦转债
273,嘉澳转债!,113502,2017/11/27,嘉澳环保,603822,化工,化工,105.11,-0.11%,0.13%,27.64,0.40%,2.8,1.40%,112.3,44.79,2.73,61.71,70.30%,转股中,3.18年,1.18年,9.10%,5.60%,1.9,20,2.15%,1.42%,-1.65%,-2.05%,94.66,92.67,0.04,AA-,6.50%,175.41 ,148.5,214,53.8,196,-1.40%,29,嘉澳转债!
122,建工转债!,110064,2020/1/16,重庆建工,600939,建筑,建筑工程,107.66,-0.04%,0.14%,4.05,0.25%,3.7,0.20%,120.2,4.57,1.06,88.62,21.50%,转股中,5.29年,3.29年,22.60%,20.00%,17,73,2.15%,1.47%,-0.86%,-1.11%,90.68,96.95,0.43,AA+,4.31%,129.16 ,126.7,47,29.8,17,-3.40%,46,建工转债!
60,健友转债,113579,2020/5/22,健友股份,603707,医药,原料药,135.4,1.04%,-0.25%,46.8,1.08%,5.6,0.80%,114.2,42.05,10.42,111.3,21.70%,55天,5.63年,3.63年,1.20%,1.30%,5,437,-3.03%,-3.46%,-6.84%,-7.00%,88.03,89.79,0.73,AA,4.51%,157.10 ,159.5,241,69.7,240,-9.20%,6,健友转债
255,江银转债!,128034,2018/2/14,江阴银行,2807,金融,银行行业,111.569,-0.76%,0.19%,4.2,-1.18%,2.4,0.10%,109.1,4.5,0.81,93.33,19.50%,转股中,3.39年,无权,19.30%,18.00%,18,91,-0.67%,-1.16%,无权,无权,无权,95.47,0.48,AA+,4.20%,131.07 ,129.8,73,34.3,41,-2.80%,29,江银转债!
62,交科转债,128107,2020/5/22,浙江交科,2061,建筑,建筑工程,121.13,-0.55%,0.67%,5.75,0.17%,6.5,0.20%,115.3,5.36,1.01,107.28,12.90%,53天,5.63年,3.63年,31.60%,33.90%,25,79,-0.89%,-1.37%,-4.02%,-4.20%,88.77,91.64,0.66,AA+,4.31%,134.03 ,135,125,43.3,125,-3.00%,14,交科转债
207,今飞转债!,128056,2019/3/22,今飞凯达,2863,汽车,零部件制,114.35,-0.89%,-0.95%,7.23,-2.56%,16,3.90%,121,6.76,2.65,106.95,6.90%,转股中,4.48年,2.48年,13.50%,14.50%,3.7,27,1.30%,0.48%,-3.50%,-3.79%,86.26,88.28,0.72,A+,7.60%,121.25 ,121.7,12,33.5,33,5.20%,59,今飞转债!
53,今天转债,123051,2020/6/30,今天国际,300532,计算机及,软件开发,136,0.29%,-0.29%,12.65,0.00%,88,23.00%,122.8,8.8,4.31,143.75,-5.40%,3月6天,5.75年,3.75年,8.10%,11.60%,2.8,35,-1.80%,-2.45%,-6.53%,-6.73%,78.77,81.22,0.9,A+,7.71%,130.60 ,128.3,60,47,155,13.40%,11,今天转债
277,金禾转债!!,128017,2017/11/27,金禾实业,2597,化工,化工,166.878,-0.07%,-2.01%,36.06,-2.20%,41,4.40%,109.8,22.42,4.6,160.84,3.80%,转股中,3年57天,1年57天,2.80%,4.50%,5.6,201,-12.60%,-13.10%,-28.30%,-28.50%,97.07,96.47,0.95,AA,4.40%,170.68 ,172.9,261,75.8,251,4.40%,11,金禾转债!!
144,金力转债!,123033,2019/11/25,金力永磁,300748,电子,元器件制,119.512,-0.16%,0.46%,40.31,0.47%,34,6.50%,121.9,41.09,13.13,98.1,21.80%,转股中,5年57天,3年57天,2.60%,2.60%,4.4,167,0.40%,-0.33%,-3.77%,-4.06%,85.67,88.75,0.65,AA-,6.61%,141.31 ,140.9,176,52.2,184,-6.40%,26,金力转债!
153,金轮转债!,128076,2019/11/8,金轮股份,2722,机械装备,专用设备,107.405,0.07%,0.19%,13.09,0.46%,3.1,1.30%,115.3,14.76,1.24,88.69,21.10%,转股中,5年39天,3年39天,9.30%,8.30%,2.1,23,1.43%,0.88%,-1.05%,-1.27%,84.55,83.99,0.56,AA-,6.61%,128.51 ,126.1,42,41.6,115,-0.10%,41,金轮转债!
154,金能转债,113545,2019/11/7,金能科技,603113,煤炭,炼焦,126.8,-0.35%,-1.61%,13.53,-2.59%,4.6,0.20%,115.3,11.4,1.55,118.68,6.80%,转股中,5年39天,3年39天,16.40%,19.50%,15,91,-1.88%,-2.40%,-5.99%,-6.19%,90.17,92.76,0.76,AA,4.51%,133.60 ,134.9,124,42.2,118,0.70%,22,金能转债
247,金农转债!!,128036,2018/4/2,金新农,2548,农业,畜牧业,162.8,-1.80%,0.35%,10.2,-1.45%,163,68.60%,110.3,7.39,2.9,138.02,18.00%,转股中,3.51年,1.51年,2.50%,3.50%,1.5,57,-10.70%,-11.10%,-20.40%,-20.60%,92.77,89.19,1,AA-,6.50%,180.80 ,187.6,269,94.8,267,-7.90%,15,金农转债!!
132,金牌转债!,113553,2020/1/7,金牌厨柜,603180,其他,家居用品,138.05,-0.75%,0.45%,59.9,-0.35%,29,7.70%,124.6,44.14,4.88,135.7,1.70%,转股中,5.27年,3.27年,4.90%,6.70%,2.8,57,-1.96%,-2.72%,-7.96%,-8.16%,83.93,89.85,0.88,AA-,6.61%,139.75 ,140.4,171,50.5,174,-5.70%,15,金牌转债!
159,晶瑞转债!,123031,2019/9/26,晶瑞股份,300655,化工,化工,271.3,3.99%,0.90%,39.85,5.01%,2654,1601%,115.8,18.53,6.01,215.06,26.20%,转股中,4.98年,2.98年,0.80%,1.80%,0.6,75,-15.90%,-16.30%,-15.10%,-15.20%,82.47,81.37,0.98,A+,7.60%,297.50 ,327.5,285,245.1,286,6.20%,14,晶瑞转债!
192,精测转债!!,123025,2019/4/19,精测电子,300567,电子,液晶显示,134.36,0.13%,0.47%,59.49,0.75%,59,14.10%,117.3,49.95,10.29,119.1,12.80%,转股中,4.56年,2.56年,2.10%,2.50%,3.1,147,-2.99%,-3.62%,-9.17%,-9.39%,87.71,89.02,0.81,AA-,6.50%,147.16 ,149.6,221,60.6,223,-3.40%,18,精测转债!!
289,九州转债!,110034,2016/1/29,九州通,600998,医药,医药商业,115.5,-0.17%,0.08%,17.53,-0.28%,6.4,0.40%,109.6,18.32,1.83,95.69,20.70%,转股中,1.36年,回售中,4.60%,4.40%,15,329,-3.82%,-5.06%,回售中,回售中,103,103.93,0.32,AA+,4.09%,136.20 ,135.3,129,31.4,23,-1.60%,25,九州转债!
161,九洲转债,123030,2019/9/12,九洲集团,300040,能源电力,电力设备,143.099,-1.72%,-0.20%,8.13,-2.17%,160,45.50%,120,5.65,1.42,143.89,-0.60%,转股中,4.96年,2.96年,8.80%,12.70%,2.5,28,-3.55%,-4.20%,-9.93%,-10.10%,85.48,88.83,0.88,AA-,6.50%,142.50 ,142.3,185,53.5,194,13.30%,31,九洲转债
274,久立转2!,128019,2017/12/1,久立特材,2318,石油天然,石油天然,129.988,-0.18%,-2.61%,9.28,-3.53%,15,1.10%,109.8,7.62,2.43,121.78,6.70%,转股中,3.18年,1.18年,13.30%,16.20%,10,78,-5.27%,-5.80%,-15.20%,-15.40%,97,96.39,0.79,AA,4.40%,136.69 ,138.2,151,41.2,109,4.80%,13,久立转2!
280,久其转债!,128015,2017/7/18,久其软件,2279,计算机及,软件开发,103.091,-0.19%,0.22%,6.79,0.30%,2.8,0.30%,110.8,9.48,6.64,71.62,43.90%,转股中,2.76年,0.76年,16.20%,11.60%,7.8,48,2.69%,1.94%,-1.62%,-1.95%,95.07,91.22,0.1,A+,7.49%,146.99 ,134.6,120,39.5,94,-3.50%,56,久其转债!
82,久吾转债,123047,2020/4/17,久吾高科,300631,机械装备,专用设备,125.11,0.17%,-0.13%,21.8,0.05%,28,8.70%,130.1,17.61,3.32,123.79,1.10%,21天,5.54年,3.54年,11.00%,13.70%,2.5,23,0.73%,-0.15%,-4.40%,-4.69%,81.05,87.51,0.81,A+,7.71%,126.21 ,126.4,45,38.9,85,10.20%,20,久吾转债
37,巨星转债,128115,2020/7/16,巨星科技,2444,机械装备,通用设备,163,-1.63%,1.18%,20.63,-0.48%,66,4.20%,115.3,12.28,2.73,168,-3.00%,4月1天,5.80年,3.80年,4.40%,7.40%,9.7,222,-5.89%,-6.31%,-10.20%,-10.10%,89.75,90,0.94,AA,4.51%,160.00 ,158,236,68,237,-6.10%,3,巨星转债
66,聚飞转债,123050,2020/5/15,聚飞光电,300303,电子,LED制,145.7,3.77%,3.88%,7.8,8.48%,819,81.10%,124.2,5.18,4.24,150.58,-3.20%,45天,5.61年,3.61年,7.10%,10.60%,7.1,100,-2.86%,-3.55%,-8.60%,-8.78%,82.18,87.68,0.9,AA-,6.61%,142.50 ,140.8,174,53.1,191,14.80%,10,聚飞转债
98,君禾转债,113567,2020/4/3,君禾股份,603617,机械装备,通用设备,115.21,0.18%,0.38%,11.88,0.76%,2.3,1.00%,119.3,11.46,3.79,103.66,11.10%,5.1天,5.49年,3.49年,8.90%,9.20%,2.1,24,0.65%,0.04%,-2.67%,-2.89%,80.05,80.37,0.74,A+,7.71%,126.31 ,126.8,49,46.4,148,2.10%,29,君禾转债
217,钧达转债!,128050,2018/12/27,钧达股份,2865,汽车,零部件制,120.26,0.69%,1.17%,17.5,2.58%,7.8,2.00%,123.5,14.83,2.47,118,1.90%,转股中,4.26年,2.26年,15.10%,17.80%,3.2,21,0.64%,-0.29%,-5.94%,-6.21%,89.53,95.47,0.72,AA-,6.50%,122.16 ,122.5,16,27,13,4.10%,62,钧达转债!
117,开润转债!,123039,2020/1/23,开润股份,300577,服装纺织,纺织行业,116.5,-1.11%,0.32%,31.12,-1.21%,3.1,1.20%,121.5,33.22,7.7,93.68,24.40%,转股中,5.31年,3.31年,3.30%,3.10%,2.2,68,0.81%,0.12%,-3.10%,-3.34%,81.25,82.97,0.65,A+,7.71%,140.90 ,139.3,163,56.4,205,-0.10%,21,开润转债!
233,凯发转债!,123014,2018/8/21,凯发电气,300407,能源电力,电力设备,151,-0.26%,3.37%,10.04,3.72%,440,253%,108.5,8.12,2.33,123.65,22.10%,转股中,2.89年,0.89年,3.80%,4.70%,1.2,31,-10.90%,-11.40%,-31.00%,-31.10%,93.88,88.44,0.84,A+,7.49%,173.10 ,178.4,264,84.5,261,11.80%,14,凯发转债!
212,凯龙转债!,128052,2019/1/21,凯龙股份,2783,化工,化工,287.89,-2.74%,5.53%,12.53,2.79%,606,656%,115,6.67,2.76,187.86,53.30%,转股中,4.29年,2.29年,0.70%,1.30%,0.3,47,-19.50%,-20.00%,-22.10%,-22.20%,93.47,96.44,1,AA,4.40%,341.19 ,387.9,287,291.5,287,-1.90%,12,凯龙转债!
