序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,双低,老式双低,老式排名,新式双低,新式排名,MA20乖离,热门度,转债名称
88,博特转债,113571,2020/4/1,苏博特,603916,建筑,水泥,180.82,0.22%,1.40%,36.1,1.69%,33,2.70%,120.8,18.88,4.54,191.21,-5.40%,13天,5.52年,3.52年,6.20%,11.90%,7,112,-7.18%,-7.75%,-13.50%,-13.60%,82.68,85.8,0.96,AA-,6.61%,175.42 ,170.4,256,84.6,262,3.30%,14,博特转债
203,博彦转债,128057,2019/4/2,博彦科技,2649,计算机及,软件开发,124.25,-0.60%,-0.10%,10.66,-0.84%,10,1.60%,117.1,8.72,2.05,122.25,1.60%,转股中,4.50年,2.50年,9.40%,11.50%,5.3,56,-1.34%,-1.99%,-6.67%,-6.90%,88.04,89.22,0.83,AA-,6.50%,125.85 ,126.3,43,37,71,0.00%,31,博彦转债
139,常汽转债!,113550,2019/12/12,常熟汽饰,603035,汽车,零部件制,164.01,-2.80%,-0.55%,15.22,-3.61%,54,7.20%,121.8,9.65,1.58,157.72,4.00%,转股中,5.20年,3.20年,9.70%,15.30%,4.6,47,-5.68%,-6.33%,-12.30%,-12.50%,84.83,88.31,0.93,AA-,6.61%,168.01 ,170.3,255,82,259,-1.70%,16,常汽转债!
39,晨光转债,123055,2020/7/13,晨光生物,300138,食品饮料,食品加工,142.38,-1.47%,-1.20%,15.94,-3.10%,20,2.30%,124.3,12.25,4.34,130.12,9.40%,3月19天,5.78年,3.78年,7.70%,10.00%,6.3,82,-2.37%,-3.04%,-7.67%,-7.85%,81.36,86.81,0.86,AA-,6.61%,151.78 ,154.6,231,67.8,235,-3.20%,5,晨光转债
7,城地转债,113596,2020/8/20,城地股份,603887,通信互联,通信设备,117.22,-0.66%,0.07%,27.47,-0.87%,14,1.00%,113.5,29.21,2.96,94.04,24.60%,5月2天,5.89年,3.89年,11.60%,10.90%,12,103,-0.56%,-0.97%,-2.97%,-3.14%,80.45,78.67,0.68,AA-,6.61%,141.82 ,140.4,172,59.9,222,-8.60%,6,城地转债
52,楚江转债,128109,2020/6/23,楚江新材,2171,有色金属,铜金属,124.999,1.26%,2.56%,9.59,5.62%,57,2.50%,115.3,8.73,2.39,109.85,13.80%,3月6天,5.75年,3.75年,14.30%,15.70%,18,128,-1.42%,-1.88%,-4.68%,-4.85%,87.69,90.21,0.68,AA,4.51%,138.80 ,140.1,169,49.9,172,0.20%,4,楚江转债
142,川投转债,110061,2019/12/2,川投能源,600674,能源电力,水电,124.33,0.14%,-0.87%,10,-1.09%,18,0.40%,111,9.58,1.68,104.38,19.10%,转股中,5.18年,3.18年,9.10%,9.50%,40,440,-2.20%,-2.58%,-5.37%,-5.55%,91.01,91.16,0.67,AAA,4.01%,143.43 ,144.3,203,53.1,190,0.60%,16,川投转债
182,创维转债!,127013,2019/5/16,创维数字,810,电子,电子产品,116,0.17%,0.01%,11,0.36%,1.3,0.10%,117.9,11.39,3.11,96.58,20.10%,转股中,4.61年,2.61年,8.40%,8.10%,9.8,117,0.36%,-0.32%,-4.10%,-4.32%,92.15,97.55,0.51,AA,4.40%,136.10 ,135.4,130,37.9,78,-4.70%,23,创维转债!
65,春秋转债,113577,2020/5/13,春秋电子,603890,电子,电子产品,144.59,-0.83%,0.44%,15.99,-0.44%,9.1,2.60%,118.2,11.06,3.79,144.58,0.00%,45天,5.61年,3.61年,3.90%,5.60%,2.4,62,-3.60%,-4.13%,-8.42%,-8.59%,82.18,83.49,0.91,AA-,6.61%,144.59 ,144.6,206,61.1,226,-4.00%,8,春秋转债
16,淳中转债,113594,2020/8/28,淳中科技,603516,电子,电子产品,120.74,-1.14%,2.01%,38.89,1.22%,22,6.20%,121.4,39.37,6.11,98.78,22.20%,4月24天,5.87年,3.87年,5.80%,5.70%,3,52,0.09%,-0.53%,-3.53%,-3.74%,77.9,79.5,0.71,A+,7.71%,142.94 ,142.7,191,63.2,232,-2.20%,2,淳中转债
193,大丰转债!,113530,2019/4/18,大丰实业,603081,建筑,装饰工程,106.79,-0.21%,0.35%,12.72,0.71%,7.3,1.10%,121.6,16.64,2.6,76.44,39.70%,转股中,4.56年,2.56年,12.30%,9.40%,6.3,51,2.95%,2.11%,-1.15%,-1.39%,92.46,100.85,0.21,AA,4.40%,146.49 ,137.1,148,36.3,62,1.30%,33,大丰转债!
177,大业转债!,113535,2019/6/3,大业股份,603278,汽车,零部件制,104.1,0.43%,1.07%,9.44,7.89%,8.9,1.70%,113.1,12.4,1.71,76.13,36.70%,转股中,3.67年,1.67年,18.30%,13.90%,5,27,2.31%,1.65%,-1.19%,-1.38%,94.32,97.15,0.19,AA,4.40%,140.80 ,132.1,103,34.9,45,4.30%,49,大业转债!
5,大禹转债,123063,2020/8/20,大禹节水,300021,化工,橡胶塑料,125.32,0.21%,0.48%,6.12,0.82%,105,13.20%,126.5,4.94,3.43,123.89,1.20%,5月1天,5.89年,4.89年,13.10%,16.20%,6.4,49,0.16%,-0.57%,-3.12%,-3.37%,78.04,87.7,0.83,AA-,6.61%,126.52 ,126.8,48,39.1,87,9.20%,8,大禹转债
253,大族转债!,128035,2018/3/5,大族激光,2008,机械装备,专用设备,111.4,0.53%,-0.44%,36.02,1.27%,4.6,0.20%,108,52.1,4.29,69.14,61.10%,转股中,3.42年,1.42年,6.00%,4.10%,23,384,-0.91%,-1.35%,-4.02%,-4.53%,98,94.37,0.07,AA+,4.20%,172.50 ,153.7,229,55.7,201,-6.00%,19,大族转债!
