序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
219,海澜转债!,110045,2018/7/31,海澜之家,600398,服装纺织,服装行业,98.17,0.05%,-0.06%,6.09,-0.33%,4,0.10%,111.1,11.75,2.04,51.83,89.40%,转股中,3.95年,1.95年,11.00%,5.70%,29,269,3.23%,2.69%,1.84%,1.65%,93.97,95.42,0.02,AA+,3.98%,187.57,144.5,49.1,-2.00%,59,海澜转债!
153,大业转债!,113535,2019/6/3,大业股份,603278,汽车,零部件制,100.86,0.06%,-0.19%,8.54,-0.81%,1.6,0.30%,113.1,12.4,1.55,68.87,46.40%,转股中,3.77年,1.77年,20.20%,13.90%,5,25,3.12%,2.47%,0.51%,0.32%,93.6,96.07,0.16,AA,4.48%,147.26,132.8,36.8,2.10%,51,大业转债!
60,搜特转债!,128100,2020/4/9,搜于特,2503,服装纺织,服装行业,99.689,-0.17%,0.40%,2.9,2.47%,26,3.30%,117.3,5.36,1.67,54.1,84.30%,48天,5.61年,3.61年,8.90%,4.80%,8,90,3.00%,2.43%,1.09%,0.89%,87.29,90.91,0.09,AA,4.74%,183.99,145.3,54.4,-3.90%,37,搜特转债!
67,科达转债!,113569,2020/4/8,苏州科达,603660,通信互联,物联网,102.8,0.38%,-0.24%,9.03,0.78%,2.8,0.50%,120.7,14.84,2.63,60.85,68.90%,43天,5.60年,3.60年,11.40%,7.00%,5.2,45,2.97%,2.31%,0.32%,0.11%,84.49,88.86,0.18,AA-,5.74%,171.7,144.8,55.9,-6.00%,21,科达转债!
246,铁汉转债!,123004,2018/1/26,铁汉生态,300197,城市公用,生态环境,99.88,0.00%,0.00%,2.78,0.00%,2.1,0.20%,109.8,3.98,1.25,69.85,43.00%,转股中,3.38年,1.38年,12.80%,8.90%,8.3,65,2.90%,2.33%,1.73%,1.40%,95.88,94.96,0.11,AA,4.48%,142.88,129.9,34,-0.30%,30,铁汉转债!
37,纵横转债,113573,2020/5/22,纵横通信,603602,通信互联,通信设备,106.33,0.00%,0.47%,15.63,0.90%,3.4,1.20%,124.7,18.81,3.55,83.09,28.00%,2月23天,5.71年,3.71年,8.50%,7.00%,2.7,32,2.89%,2.14%,-0.42%,-0.65%,79.48,83.56,0.52,A+,7.44%,134.33,129.6,46,-5.10%,10,纵横转债
185,今飞转债!,128056,2019/3/22,今飞凯达,2863,汽车,零部件制,106.998,0.75%,0.16%,6.12,1.66%,22,5.60%,121,6.76,2.27,90.53,18.20%,转股中,4.58年,2.58年,16.00%,14.50%,3.7,23,2.79%,1.97%,-0.98%,-1.27%,86.32,88.77,0.55,A+,7.18%,125.2,123.5,34.7,11.90%,56,今飞转债!
217,德尔转债!,123011,2018/8/14,德尔股份,300473,汽车,零部件制,104.54,0.35%,-0.48%,27.27,-0.44%,3.1,1.20%,116.3,34.54,1.36,78.95,32.40%,转股中,3.96年,1.96年,8.10%,6.40%,2.5,31,2.77%,2.02%,-0.79%,-1.05%,91.83,94.48,0.31,AA-,5.48%,136.94,130.1,35.6,-0.80%,37,德尔转债!
123,浦发转债!,110059,2019/11/15,浦发银行,600000,金融,银行行业,103.29,-0.03%,-0.06%,10.36,-0.38%,170,0.30%,117.8,14.45,0.59,71.7,44.10%,转股中,5.24年,无权,16.40%,11.80%,500,3041,2.61%,1.98%,无权,无权,无权,97.68,0.23,AAA,3.74%,147.39,134.9,37.2,-8.10%,79,浦发转债!
182,中信转债!,113021,2019/3/19,中信银行,601998,金融,银行行业,106.07,-0.23%,0.23%,5.16,0.00%,33,0.10%,118.8,6.98,0.55,73.93,43.50%,转股中,4.59年,无权,15.80%,11.70%,400,2525,2.58%,1.83%,无权,无权,无权,102,0.21,AAA,3.48%,149.57,138.2,36.2,-5.90%,55,中信转债!
254,嘉澳转债!,113502,2017/11/27,嘉澳环保,603822,化工,化工,103.58,0.12%,-0.11%,26.26,0.08%,2.6,1.30%,112.3,44.79,2.59,58.63,76.70%,转股中,3.28年,1.28年,9.60%,5.60%,1.9,19,2.55%,1.84%,-0.53%,-0.90%,95.25,94.66,0.04,AA-,5.48%,180.28,148.5,53.3,1.90%,31,嘉澳转债!
263,永东转债!,128014,2017/7/18,永东股份,2753,化工,化工,104.133,0.34%,-0.32%,8.13,0.37%,0.9,0.30%,111.3,12.6,1.76,64.52,61.40%,转股中,2.71年,0.71年,11.00%,7.10%,3.4,31,2.53%,1.74%,-2.56%,-2.95%,97.3,96.97,0.06,AA-,5.31%,165.53,143.7,46.4,-9.50%,41,永东转债!
68,新春转债,113568,2020/4/2,五洲新春,603667,机械装备,通用设备,109,0.54%,-0.27%,8.61,0.47%,6.3,1.80%,124.8,8.91,1.45,96.63,12.80%,44天,5.59年,3.59年,13.10%,12.70%,3.3,25,2.51%,1.74%,-1.07%,-1.31%,85.11,92,0.58,AA-,5.74%,121.8,121.4,29.4,2.00%,38,新春转债
268,辉丰转债!!,128012,2016/5/17,*ST辉丰,2496,化工,农化,99.999,0.00%,0.00%,3.06,0.66%,0,0.00%,104.3,4.38,1.69,69.86,43.10%,转股中,1.72年,回售中,18.30%,12.80%,8.4,46,2.50%,2.00%,回售中,回售中,103,91.44,0,A,8.01%,143.1,130.1,27.1,4.10%,54,辉丰转债!!
104,鸿达转债,128085,2020/1/8,鸿达兴业,2002,化工,化工,109.758,-0.04%,0.18%,3.92,0.26%,30,1.10%,124.8,3.92,1.48,100,9.80%,转股中,5.38年,3.38年,23.90%,23.90%,24,101,2.47%,1.68%,-1.45%,-1.67%,88.69,97.82,0.56,AA,4.74%,119.56,119.5,21.7,-3.20%,76,鸿达转债
146,清水转债,123028,2019/7/15,清水源,300437,城市公用,三废处理,108.5,0.46%,-0.42%,10.72,0.09%,1.6,0.30%,121.8,11.84,1.55,90.54,19.80%,转股中,4.88年,2.88年,20.90%,19.00%,4.9,23,2.46%,1.67%,-1.17%,-1.46%,89.18,94.48,0.48,AA-,5.48%,128.3,126.5,32,-0.80%,45,清水转债
5,胜达转债,113591,2020/7/23,大胜达,603687,造纸包装,包装用纸,106.16,0.36%,-0.36%,13.47,0.00%,16,2.70%,122.2,14.73,3.82,91.45,16.10%,5月10天,5.92年,3.92年,9.90%,9.10%,5.5,55,2.46%,1.80%,-0.48%,-0.67%,83.1,88.43,0.55,AA-,5.74%,122.26,120.9,32.4,-7.80%,4,胜达转债
195,钧达转债!,128050,2018/12/27,钧达股份,2865,汽车,零部件制,111.662,-0.39%,-0.58%,14.93,-1.78%,24,6.80%,123.5,14.83,2.13,100.67,10.90%,转股中,4.36年,2.36年,17.70%,17.80%,3.2,18,2.39%,1.46%,-2.87%,-3.15%,90.91,98.4,0.55,AA-,5.48%,122.56,122.6,24.3,3.30%,61,钧达转债!
97,建工转债!,110064,2020/1/16,重庆建工,600939,建筑,建筑工程,106.32,-1.24%,0.92%,3.99,-0.75%,24,1.30%,120.2,4.57,1.06,87.31,21.80%,转股中,5.39年,3.39年,22.90%,20.00%,17,72,2.36%,1.69%,-0.48%,-0.73%,90.35,96.61,0.42,AA+,4.24%,128.12,125.3,28.7,-0.10%,43,建工转债!
44,起步转债!,113576,2020/5/7,起步股份,603557,服装纺织,鞋服行业,107.14,2.35%,2.15%,10.18,7.38%,104,19.00%,121.8,10.55,2.83,96.49,11.00%,2月16天,5.69年,3.69年,10.80%,10.40%,5.2,48,2.33%,1.66%,-0.60%,-0.83%,84.66,89.32,0.61,AA-,5.74%,118.14,117.8,28.5,9.80%,26,起步转债!
41,凌钢转债!,110070,2020/5/13,凌钢股份,600231,钢铁,炼钢,103.9,0.18%,-0.18%,2.3,0.00%,1.9,0.40%,117.8,2.75,0.82,83.64,24.20%,2月17天,5.70年,3.70年,6.90%,5.80%,4.4,64,2.27%,1.71%,0.06%,-0.15%,87.23,90.97,0.43,AA,4.74%,128.1,124.2,33.2,-3.10%,11,凌钢转债!
101,森特转债,113557,2020/1/10,森特股份,603098,建筑,建筑工程,107.41,0.20%,-0.02%,9.45,0.32%,12,1.90%,120.7,10.26,2.22,92.11,16.60%,转股中,5.38年,3.38年,13.20%,12.20%,6,45,2.24%,1.56%,-0.91%,-1.12%,85.55,89.95,0.55,AA-,5.74%,124.01,122.7,32.8,-1.30%,35,森特转债
269,顺昌转债!!,128010,2016/2/23,澳洋顺昌,2245,交通运输,物流业,106.12,0.00%,0.00%,4.86,-0.41%,8.4,1.60%,109.6,9.25,2.22,52.54,102%,转股中,1.48年,回售中,10.70%,5.60%,5.1,48,2.23%,1.00%,回售中,回售中,100.27,103.04,0,AA,4.31%,208.12,159.7,56.7,9.40%,42,顺昌转债!!
261,久其转债!,128015,2017/7/18,久其软件,2279,计算机及,软件开发,104.12,0.59%,-0.07%,7.22,3.00%,23,2.80%,110.8,9.48,6.72,76.16,36.70%,转股中,2.85年,0.85年,15.20%,11.60%,7.8,51,2.23%,1.52%,-2.43%,-2.72%,94.79,91.57,0.17,A+,7.01%,140.82,132.1,37.3,-3.00%,59,久其转债!
171,岱勒转债!,123024,2019/4/17,岱勒新材,300700,机械装备,专用设备,104.54,0.71%,-0.29%,19.47,1.25%,25,11.30%,113,24.9,3.26,78.19,33.70%,转股中,3.64年,1.64年,13.10%,10.20%,2.1,16,2.19%,1.53%,-1.50%,-1.68%,89.84,88.09,0.34,A+,7.18%,138.24,130.9,41,5.50%,32,岱勒转债!
205,长久转债!,113519,2018/11/30,长久物流,603569,交通运输,物流业,109.94,-0.02%,-0.42%,9.67,-1.23%,0.7,0.10%,120.1,11.15,2.25,86.73,26.80%,转股中,4.27年,2.27年,12.90%,11.20%,7,54,2.14%,1.30%,-2.44%,-2.71%,93.24,100.02,0.36,AA,4.48%,136.74,133.2,33.1,0.10%,18,长久转债!
184,长城转债!,113528,2019/3/20,长城科技,603897,机械装备,专用设备,106.97,0.19%,0.26%,20.16,1.05%,4.5,0.70%,117.6,23.75,1.94,84.88,26.00%,转股中,4.58年,2.58年,17.60%,15.00%,6.3,36,2.14%,1.44%,-1.06%,-1.33%,89.92,92.63,0.43,AA-,5.48%,132.97,129.1,36.4,-1.20%,46,长城转债!
239,吉视转债!,113017,2018/1/15,吉视传媒,601929,传媒娱乐,影视娱乐,102.37,-0.03%,0.21%,2.2,0.92%,8.2,0.50%,109.8,2.95,1.03,74.58,37.30%,转股中,3.41年,1.41年,22.80%,17.00%,16,68,2.12%,1.56%,0.11%,-0.21%,96.5,96.39,0.2,AA+,3.98%,139.67,130.2,33.7,-3.40%,50,吉视转债!
176,苏银转债!,110053,2019/4/3,江苏银行,600919,金融,银行行业,108.5,-0.05%,0.21%,6.05,0.50%,134,0.60%,119.1,7.28,0.61,83.1,30.60%,转股中,4.62年,无权,28.60%,23.80%,200,698,2.10%,1.35%,无权,无权,无权,102.17,0.32,AAA,3.48%,139.1,133.9,31.7,-3.30%,50,苏银转债!
256,时达转债!,128018,2017/12/4,新时达,2527,机械装备,机器人及,103.35,0.93%,-0.86%,5.55,0.36%,4.5,0.50%,110.3,7.42,1.39,74.8,38.20%,转股中,3.27年,1.27年,25.60%,19.10%,8.8,34,2.06%,1.45%,-0.38%,-0.76%,96.6,95.9,0.2,AA,4.48%,141.55,131.9,35.3,3.00%,43,时达转债!
126,迪贝转债!,113546,2019/11/21,迪贝电气,603320,家电,零部件制,109.3,0.54%,-0.25%,13.49,0.45%,5.2,2.10%,121.1,14.1,2.04,95.67,14.20%,转股中,5.23年,3.23年,13.10%,12.50%,2.3,18,2.03%,1.32%,-1.35%,-1.60%,82.16,84,0.66,A+,7.44%,123.5,122.9,38.9,1.50%,44,迪贝转债!
144,智能转债!,128070,2019/7/23,智能自控,2877,机械装备,通用设备,106.9,0.55%,0.25%,8,1.52%,8,3.30%,117.6,9.51,3.76,84.12,27.10%,转股中,4.92年,无权,8.60%,7.30%,2.3,27,2.00%,1.35%,无权,无权,无权,84.25,0.53,A+,7.18%,134,129.7,45.4,2.00%,35,智能转债!
238,迪龙转债!,128033,2018/1/29,雪迪龙,2658,城市公用,三废处理,103,0.19%,-0.08%,6.37,0.63%,2.6,0.50%,109.8,8.83,1.93,72.14,42.80%,转股中,3.41年,1.41年,13.50%,9.70%,5.2,39,1.93%,1.38%,-0.28%,-0.60%,95.78,94.86,0.18,AA,4.48%,145.8,133.9,38.1,-1.90%,38,迪龙转债!
211,苏农转债!,113516,2018/8/20,苏农银行,603323,金融,银行行业,106.8,-0.28%,0.43%,4.66,0.43%,6.8,0.50%,115.1,5.52,0.72,84.42,26.50%,转股中,4年1.1天,无权,15.30%,13.00%,13,84,1.93%,1.24%,无权,无权,无权,98.83,0.34,AA+,3.98%,133.3,129.2,30.4,-4.80%,37,苏农转债!
208,岭南转债!,128044,2018/9/4,岭南股份,2717,城市公用,生态环境,103.7,-0.08%,0.24%,4.37,0.69%,2.4,0.40%,111.8,5.91,1.46,73.94,40.20%,转股中,4年13天,2年13天,9.80%,7.30%,6.6,67,1.92%,1.37%,-0.18%,-0.47%,93.9,94.04,0.24,AA,4.48%,143.9,133.5,39.4,-2.60%,30,岭南转债!
129,金轮转债!,128076,2019/11/8,金轮股份,2722,机械装备,专用设备,104.806,0.65%,-0.40%,12.8,0.47%,6.3,2.80%,115.3,14.76,1.21,86.72,20.90%,转股中,5.20年,3.20年,9.50%,8.30%,2.1,22,1.89%,1.35%,-0.29%,-0.51%,86.2,86.78,0.52,AA-,5.74%,125.71,122.9,36.1,-0.10%,42,金轮转债!
226,新凤转债!,113508,2018/5/16,新凤鸣,603225,服装纺织,纺织行业,105.04,0.81%,-0.83%,10.61,-0.19%,43,1.90%,112.3,15.78,1.31,67.24,56.20%,转股中,3.73年,1.73年,14.50%,9.70%,21,148,1.84%,1.22%,-1.14%,-1.42%,94.64,95.64,0.13,AA,4.48%,161.24,142.8,47.2,-2.50%,28,新凤转债!
136,哈尔转债!,128073,2019/9/11,哈尔斯,2615,其他,家居用品,107.999,0.60%,0.46%,5.29,2.12%,6.3,2.00%,115.7,5.72,2.67,92.48,16.80%,转股中,4年21天,2年21天,13.80%,12.80%,3,22,1.74%,1.04%,-2.36%,-2.57%,91.08,93.51,0.5,AA-,5.48%,124.8,123.5,30,3.40%,38,哈尔转债!
8,天创转债,113589,2020/7/16,天创时尚,603608,服装纺织,鞋服行业,104.32,2.71%,1.51%,10.08,10.00%,63,10.30%,115.3,12.64,2.02,79.75,30.80%,5月4天,5.90年,3.90年,13.80%,11.00%,6,43,1.74%,1.27%,-0.12%,-0.31%,86.15,88.2,0.42,AA,4.74%,135.12,128.9,40.7,0.40%,2,天创转债
159,核能转债!,113026,2019/5/8,中国核电,601985,能源电力,核电,101.6,-0.09%,0.04%,4.34,-0.23%,36,0.50%,109.8,6.08,1.35,71.38,42.30%,转股中,4.70年,2.70年,11.50%,8.20%,78,676,1.70%,1.29%,0.58%,0.36%,93.72,93.77,0.21,AAA,3.48%,143.9,131.8,38.1,-2.50%,52,核能转债!
231,杭电转债!,113505,2018/3/27,杭电股份,603618,能源电力,电力设备,105.91,0.03%,0.69%,6.06,2.02%,8,1.00%,112.3,7.14,1.75,84.87,24.80%,转股中,3.59年,1.59年,17.90%,15.20%,7.5,42,1.67%,1.03%,-1.69%,-1.99%,95.22,96.23,0.36,AA,4.48%,130.71,126.9,30.7,1.20%,39,杭电转债!
138,翔鹭转债!,128072,2019/9/16,翔鹭钨业,2842,有色金属,小金属,106.6,0.40%,-0.28%,11.37,0.35%,2.1,0.60%,115.5,15.31,3.44,74.27,43.50%,转股中,5年19天,3年19天,9.70%,7.20%,3,31,1.63%,1.07%,-0.82%,-1.05%,86.96,87.67,0.35,AA-,5.74%,150.1,138.9,51.3,3.90%,27,翔鹭转债!
131,万里转债!,123032,2019/10/31,万里马,300591,服装纺织,服装纺织,122.481,4.49%,2.86%,7.94,9.97%,667,309%,132.8,6.89,5.06,115.24,6.30%,转股中,5.19年,3.19年,7.30%,8.40%,1.8,25,1.63%,0.60%,-3.79%,-4.20%,85.28,92.87,0.74,A+,7.44%,128.78,129.7,36.9,11.10%,44,万里转债!
102,孚日转债!,128087,2020/1/16,孚日股份,2083,服装纺织,家纺,104.349,0.33%,-0.06%,5.4,0.56%,15,2.20%,113.3,6.3,1.27,85.71,21.70%,转股中,5.38年,3.38年,13.30%,11.40%,6.5,49,1.57%,1.11%,-0.15%,-0.36%,88.25,88.78,0.48,AA,4.74%,126.05,123,34.2,-5.70%,47,孚日转债!
4,美联转债,123057,2020/7/27,美联新材,300586,化工,橡胶塑料,108.201,-0.16%,0.48%,9.04,0.56%,5.3,2.40%,118.2,9.91,3.06,91.22,18.60%,5月9天,5.92年,3.92年,5.00%,4.60%,2.1,41,1.54%,0.99%,-0.95%,-1.14%,83.1,85.55,0.59,AA-,5.74%,126.8,125.2,39.6,-3.20%,1,美联转债
162,核建转债!,113024,2019/4/26,中国核建,601611,建筑,建筑工程,102.34,-0.04%,-0.13%,7.08,-0.70%,26,0.80%,109.7,9.76,1.83,72.54,41.10%,转股中,4.69年,2.69年,16.00%,11.60%,30,188,1.52%,1.12%,0.30%,0.08%,93.68,93.73,0.24,AAA,3.48%,143.44,132.1,38.4,2.40%,43,核建转债!
150,文灿转债!,113537,2019/7/5,文灿股份,603348,汽车,零部件制,113.28,-0.42%,0.07%,19.25,-0.62%,7.7,1.20%,121.5,19.78,1.94,97.32,16.40%,转股中,4.86年,2.86年,12.80%,12.40%,5.7,45,1.49%,0.72%,-2.69%,-2.96%,89.02,94.33,0.57,AA-,5.48%,129.68,129.2,34.9,-3.70%,28,文灿转债!
48,鲁泰转债,127016,2020/5/13,鲁 泰Ａ,726,服装纺织,纺织行业,107.06,-0.88%,0.27%,8.01,-1.23%,18,1.20%,116.2,8.91,0.88,89.9,19.10%,2月15天,5.69年,3.69年,20.40%,18.30%,14,69,1.48%,0.96%,-0.83%,-1.01%,88.49,92.15,0.49,AA+,4.24%,126.16,124.2,32.1,0.70%,19,鲁泰转债
23,飞鹿转债,123052,2020/7/3,飞鹿股份,300665,化工,化工,117.252,0.83%,0.08%,10.93,1.20%,5.1,2.50%,127.3,9.9,3,110.4,6.20%,4月12天,5.84年,3.84年,13.30%,14.70%,1.8,13,1.45%,0.67%,-2.70%,-2.93%,79.2,84.56,0.76,A+,7.44%,123.45,124.1,39.5,2.40%,6,飞鹿转债
55,久吾转债,123047,2020/4/17,久吾高科,300631,机械装备,专用设备,120.289,0.16%,0.19%,19.85,0.46%,3.2,1.10%,130.1,17.61,3.02,112.72,6.70%,56天,5.63年,3.63年,12.10%,13.70%,2.5,21,1.44%,0.56%,-3.29%,-3.58%,81.07,87.82,0.76,A+,7.44%,126.99,127.9,40,-3.70%,19,久吾转债
51,利群转债!,113033,2020/4/21,利群股份,601366,商业零售,商场,107.5,0.89%,-1.47%,6.27,-1.10%,10,0.50%,115.3,7.01,1.17,89.44,20.20%,2月8天,5.67年,3.67年,33.40%,29.80%,18,54,1.27%,0.78%,-0.92%,-1.11%,87.07,89.14,0.53,AA,4.74%,127.7,125.6,36.4,-1.30%,30,利群转债!
181,贵广转债!,110052,2019/3/29,贵广网络,600996,传媒娱乐,影视娱乐,112.03,0.03%,0.21%,7.35,0.55%,3.9,0.20%,118.5,7.94,1.73,92.57,21.00%,转股中,4.59年,2.59年,19.80%,18.30%,15,77,1.26%,0.54%,-2.75%,-3.00%,93.35,99.44,0.44,AA+,3.98%,133.03,131.5,32,-3.50%,16,贵广转债!
112,华锋转债!,128082,2020/1/6,华锋股份,2806,电子,元器件制,114.49,0.69%,-1.29%,12.29,-0.81%,4.1,1.00%,122,11.71,1.69,104.95,9.10%,转股中,5.34年,3.34年,16.30%,17.10%,3.5,22,1.23%,0.51%,-2.45%,-2.72%,82.02,84.03,0.73,A+,7.44%,123.59,124,40,-0.70%,57,华锋转债!
114,海亮转债,128081,2019/12/16,海亮股份,2203,有色金属,铜金属,108.15,-0.24%,0.18%,8.88,-0.11%,35,1.00%,115.2,9.76,1.97,90.98,18.90%,转股中,5.31年,3.31年,18.20%,16.50%,32,173,1.22%,0.70%,-1.21%,-1.42%,88.44,90.54,0.53,AA,4.74%,127.05,125.3,34.8,-1.90%,51,海亮转债
59,雷迪转债,123045,2020/4/13,雷迪克,300652,汽车,零部件制,111.877,0.97%,-0.65%,20.9,0.43%,5.7,1.80%,119.4,20.13,2.35,103.83,7.80%,48天,5.61年,3.61年,15.70%,16.30%,2.9,18,1.19%,0.58%,-1.79%,-2.02%,80,80.59,0.75,A+,7.44%,119.68,119.9,39.3,2.50%,37,雷迪转债
165,海环转债!,113532,2019/4/24,海峡环保,603817,城市公用,三废处理,107.14,0.09%,0.11%,6.64,0.45%,0.6,0.10%,112.9,7.69,1.79,86.35,24.10%,转股中,4.67年,2.67年,15.40%,13.30%,4.6,30,1.15%,0.64%,-1.26%,-1.49%,91.43,92.38,0.44,AA,4.48%,131.24,127.9,35.5,1.30%,28,海环转债!
163,司尔转债!,128064,2019/5/7,司尔特,2538,化工,农化,109.155,-0.32%,0.05%,5.63,-0.53%,7.7,0.90%,114.9,6.07,1.08,92.75,17.70%,转股中,4.69年,2.69年,19.80%,18.40%,8,40,1.12%,0.54%,-1.90%,-2.12%,91.36,93.95,0.51,AA,4.48%,126.86,125.6,31.6,4.70%,55,司尔转债!
120,金力转债!,123033,2019/11/25,金力永磁,300748,电子,元器件制,115.26,-0.04%,-0.90%,37.3,-1.79%,22,4.50%,121.9,41.09,12.7,90.78,27.00%,转股中,5.25年,3.25年,2.80%,2.60%,4.4,154,1.10%,0.38%,-2.62%,-2.91%,87.36,91.7,0.53,AA-,5.74%,142.26,139.7,48,-1.40%,25,金力转债!
213,凯中转债!,128042,2018/9/3,凯中精密,2823,能源电力,电力设备,111.49,0.09%,-0.09%,12.24,0.00%,0.7,0.10%,116.9,12.94,2.75,94.59,17.90%,转股中,3.99年,1.99年,11.70%,11.10%,4.2,35,1.08%,0.35%,-3.71%,-3.95%,93.57,97.91,0.48,AA,4.48%,129.39,128.4,30.5,1.70%,25,凯中转债!
54,龙净转债!,110068,2020/4/15,龙净环保,600388,城市公用,三废处理,108.33,0.31%,-0.12%,9.16,0.44%,7.5,0.30%,115,10.73,1.79,85.37,26.90%,2月0天,5.64年,3.64年,20.40%,17.40%,20,98,1.08%,0.60%,-1.20%,-1.37%,88.46,91.34,0.44,AA+,4.24%,135.23,131.3,40,-2.80%,28,龙净转债!
82,银河转债!,123042,2020/2/14,金银河,300619,机械装备,专用设备,109.61,1.09%,-0.59%,21.83,0.78%,19,10.50%,115.9,24.4,3.44,89.47,22.50%,转股中,5.46年,3.46年,10.20%,9.20%,1.7,16,1.05%,0.52%,-1.40%,-1.62%,80.67,79.1,0.64,A+,7.44%,132.11,129.8,49.1,0.50%,25,银河转债!
193,奇精转债!,113524,2019/1/7,奇精机械,603677,家电,零部件制,112.77,1.34%,-1.60%,12.78,-0.62%,4.8,1.30%,117.9,14.28,2.45,89.5,26.00%,转股中,4.37年,2.37年,13.40%,12.00%,3.3,25,1.04%,0.32%,-3.40%,-3.64%,92.63,97.73,0.42,AA,4.48%,138.77,136,38.3,6.50%,47,奇精转债!
