序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
166,亚药转债!,128062,2019/4/24,亚太药业,2370,医药,化学制药,79.821,-2.42%,2.43%,5.79,6.24%,178,22.70%,119.8,16.25,7.7,35.63,124%,转股中,4.67年,2.67年,31.00%,11.10%,9.6,31,9.27%,8.44%,9.61%,9.34%,80.71,80.12,0,A-,9.18%,203.82,124,43.3,14.10%,90,亚药转债!
188,维格转债!,113527,2019/2/19,锦泓集团,603518,服装纺织,服装行业,95.15,1.05%,0.24%,7.49,5.79%,37,5.20%,120.2,10.52,0.76,71.2,33.60%,转股中,4.48年,2.48年,39.50%,28.10%,7.5,19,5.47%,4.63%,3.28%,3.00%,90.03,95.11,0.22,AA,5.48%,128.75,119.1,24,9.10%,100,维格转债!
249,亚太转债!,128023,2017/12/26,亚太股份,2284,汽车,零部件制,97.33,-0.26%,0.26%,5.33,0.38%,5,0.50%,112.3,10.34,1.62,51.55,88.80%,转股中,3.34年,1.34年,25.40%,13.10%,10,39,4.47%,3.75%,3.72%,3.34%,96.28,97.31,0.02,AA,4.48%,186.13,143.1,45.8,-3.10%,64,亚太转债!
228,岩土转债!,128037,2018/4/25,中化岩土,2542,建筑,建筑工程,98.44,0.08%,-0.08%,3.52,0.57%,3.6,0.60%,112.3,7.99,1.59,44.06,123%,转股中,3.62年,1.62年,9.40%,4.20%,6,64,3.78%,3.12%,2.48%,2.16%,95.12,96.12,0,AA,4.48%,221.44,152.8,56.7,-1.90%,48,岩土转债!
257,小康转债!,113016,2017/11/21,小康股份,601127,汽车,零部件制,98.53,0.07%,-0.08%,8.95,-0.44%,4,0.50%,110.3,15.7,1.75,57.01,72.80%,转股中,3.27年,1.27年,7.80%,4.50%,8.8,113,3.60%,2.97%,3.04%,2.63%,96.6,95.9,0.02,AA,4.48%,171.33,140.1,43.5,-0.80%,45,小康转债!
242,双环转债!,128032,2018/1/25,双环传动,2472,机械装备,通用设备,98.429,0.29%,-0.29%,5.33,0.38%,7.2,0.70%,110.3,9.89,1.11,53.89,82.60%,转股中,3.40年,1.40年,27.30%,14.70%,10,37,3.48%,2.88%,2.84%,2.47%,96.04,95.34,0.01,AA,4.48%,181.03,143,46.9,-0.20%,50,双环转债!
169,大丰转债!,113530,2019/4/18,大丰实业,603081,建筑,装饰工程,104.19,0.27%,-0.07%,11.94,1.10%,2.6,0.40%,121.6,16.64,2.49,71.75,45.20%,转股中,4.65年,2.65年,13.10%,9.40%,6.3,48,3.45%,2.62%,-0.23%,-0.47%,91.6,99.57,0.18,AA,4.48%,149.39,136.6,37.1,-2.20%,35,大丰转债!
86,百川转债!,128093,2020/1/21,百川股份,2455,化工,化工,109.52,0.29%,0.23%,5.18,1.17%,4,0.70%,130.3,5.87,2.04,88.25,24.10%,转股中,5.42年,3.42年,19.40%,17.10%,5.2,27,3.37%,2.42%,-0.56%,-0.94%,88.2,97.26,0.45,AA-,5.74%,133.62,130.8,33.5,2.70%,47,百川转债!
164,未来转债,128063,2019/4/24,德尔未来,2631,其他,家居用品,110.445,0.23%,0.14%,7.67,0.92%,2.2,0.30%,128.2,8.61,2.98,89.08,24.00%,转股中,4.67年,3.67年,12.30%,10.90%,6.3,51,3.33%,2.30%,-0.38%,-0.81%,89.11,100.61,0.4,AA-,5.48%,134.45,131.8,31.2,-2.90%,38,未来转债
172,迪森转债!,123023,2019/4/16,迪森股份,300335,能源电力,电力供应,99.197,0.19%,0.25%,5.05,1.81%,2.4,0.40%,114.9,7.04,1.36,71.73,38.30%,转股中,4.63年,3.63年,32.70%,23.50%,6,18,3.29%,2.68%,1.59%,1.32%,89.32,94.16,0.24,AA,4.48%,137.5,126.7,32.5,2.50%,50,迪森转债!
