序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,双低,老式双低,老式排名,新式双低,新式排名,MA20乖离,热门度,转债名称
190,亚药转债!,128062,2019/4/24,亚太药业,2370,医药,化学制药,80.888,0.49%,-0.49%,5.81,-2.68%,8.9,1.10%,119.8,16.25,8.32,35.75,126%,转股中,4.59年,2.59年,30.90%,11.10%,9.6,31,9.11%,8.27%,9.36%,9.09%,80.65,79.68,0,A-,9.48%,206.89 ,126,53,45.4,155,2.10%,89,亚药转债!
211,维格转债!,113527,2019/2/19,锦泓集团,603518,服装纺织,服装行业,93.85,0.03%,0.08%,6.96,0.58%,7.2,1.00%,120.2,9.85,0.7,70.66,32.80%,转股中,4.41年,2.41年,42.50%,30.00%,7.5,18,5.91%,5.05%,3.94%,3.65%,90.84,96.28,0.2,AA,5.28%,126.65 ,117,3,20.8,5,-10.50%,100,维格转债!
32,本钢转债!,127018,2020/8/4,本钢板材,761,钢铁,炼钢,98.234,-0.11%,0.27%,3.42,0.88%,63,0.90%,128.6,5.03,0.67,67.99,44.50%,4月8天,5.83年,3.83年,51.30%,34.90%,68,133,4.87%,4.01%,2.05%,1.73%,91.45,103.41,0.18,AAA,3.92%,142.73 ,128.5,80,25.1,8,-1.80%,20,本钢转债!
271,亚太转债!,128023,2017/12/26,亚太股份,2284,汽车,零部件制,97.585,-0.27%,0.27%,5.28,-0.19%,4.9,0.50%,112.3,10.34,1.6,51.06,91.10%,转股中,3.27年,1.27年,25.70%,13.10%,10,39,4.50%,3.76%,3.74%,3.33%,96.87,98.23,0.02,AA,4.28%,188.69 ,144.1,208,45.9,158,-2.70%,64,亚太转债!
250,岩土转债!,128037,2018/4/25,中化岩土,2542,建筑,建筑工程,99.375,-0.18%,0.19%,3.79,1.34%,15,2.40%,112.3,7.99,1.71,47.43,110%,转股中,3.54年,1.54年,8.80%,4.20%,6,68,3.58%,2.91%,2.02%,1.69%,95.75,97.09,0.01,AA,4.28%,209.38 ,151.3,231,54.2,205,4.30%,48,岩土转债!
279,小康转债!,113016,2017/11/21,小康股份,601127,汽车,零部件制,99.74,-0.22%,0.23%,8.94,0.56%,5.1,0.60%,110.3,15.7,1.75,56.94,75.20%,转股中,3.19年,1.19年,7.80%,4.50%,8.8,113,3.28%,2.65%,2.28%,1.86%,97.18,96.8,0.02,AA,4.28%,174.94 ,142.5,196,45.4,154,-1.10%,45,小康转债!
188,未来转债,128063,2019/4/24,德尔未来,2631,其他,家居用品,111,-0.45%,1.13%,7.78,1.57%,1.8,0.30%,128.2,8.61,3.02,90.36,22.80%,转股中,4.59年,3.59年,12.10%,10.90%,6.3,52,3.28%,2.23%,-0.53%,-0.96%,86.72,97.27,0.44,AA-,6.38%,133.80 ,131.6,113,34.4,55,-2.20%,37,未来转债
63,纵横转债,113573,2020/5/22,纵横通信,603602,通信互联,通信设备,104.95,-0.54%,-0.29%,14.81,-1.79%,9,3.20%,124.7,18.81,3.36,78.73,33.30%,55天,5.63年,3.63年,8.90%,7.00%,2.7,30,3.18%,2.41%,-0.08%,-0.32%,79.42,83.25,0.46,A+,7.62%,138.25 ,131.2,108,47.9,177,-4.20%,12,纵横转债
193,大丰转债!,113530,2019/4/18,大丰实业,603081,建筑,装饰工程,105.74,1.11%,-0.75%,12.53,1.62%,10,1.50%,121.6,16.64,2.61,75.3,40.40%,转股中,4.58年,2.58年,12.50%,9.40%,6.3,50,3.16%,2.33%,-0.78%,-1.03%,92.38,100.77,0.22,AA,4.28%,146.14 ,136.2,160,35.4,63,0.90%,34,大丰转债!
111,百川转债!,128093,2020/1/21,百川股份,2455,化工,化工,110.97,0.01%,-0.46%,5.39,-0.92%,2.2,0.40%,130.3,5.87,2.19,91.82,20.90%,转股中,5.35年,3.35年,18.70%,17.10%,5.2,28,3.16%,2.20%,-0.95%,-1.34%,86.37,94.05,0.49,AA-,6.52%,131.87 ,130.1,96,36.1,74,2.30%,46,百川转债!
