序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
80,翔港转债,113566,2020/3/31,翔港科技,603499,造纸包装,包装材料,116.91,-1.51%,-0.38%,11.98,-2.44%,14,5.80%,124.5,10.77,3.18,111.23,5.10%,29天,5.56年,3.56年,8.40%,9.40%,2,24,1.16%,0.42%,-2.96%,-3.19%,80.15,83.93,0.77,A+,7.54%,122.01 ,122.6,38.7,-9.30%,25,翔港转债
60,龙净转债!,110068,2020/4/15,龙净环保,600388,城市公用,三废处理,107.9,-0.83%,0.16%,9.09,-1.52%,4.5,0.20%,115,10.73,1.77,84.72,27.40%,52天,5.62年,3.62年,20.60%,17.40%,20,97,1.16%,0.67%,-1.10%,-1.28%,88.22,90.94,0.44,AA+,4.34%,135.30 ,131.1,40.1,-3.10%,28,龙净转债!
124,海亮转债,128081,2019/12/16,海亮股份,002203,有色金属,铜金属,108.607,-0.47%,0.04%,9.07,-0.77%,5.4,0.20%,115.2,9.76,2.01,92.93,16.90%,转股中,5.28年,3.28年,17.80%,16.50%,32,177,1.14%,0.62%,-1.34%,-1.55%,88.24,90.19,0.56,AA,4.84%,125.51 ,124.3,34.1,0.90%,52,海亮转债
88,银河转债!,123042,2020/2/14,金银河,300619,机械装备,专用设备,109.7,-0.30%,-1.68%,21.71,-3.12%,8.8,4.80%,115.9,24.4,3.42,88.98,23.30%,转股中,5.43年,3.43年,10.30%,9.20%,1.7,16,1.04%,0.51%,-1.43%,-1.65%,80.53,78.84,0.63,A+,7.54%,133.00 ,130.4,49.9,-2.30%,25,银河转债!
65,雷迪转债,123045,2020/4/13,雷迪克,300652,汽车,零部件制,112.871,-0.94%,-0.56%,21.22,-1.94%,4.5,1.40%,119.4,20.13,2.38,105.41,7.10%,40天,5.59年,3.59年,15.50%,16.30%,2.9,19,1.03%,0.42%,-2.04%,-2.26%,79.85,80.31,0.77,A+,7.54%,119.97 ,120.3,40,2.40%,37,雷迪转债
24,思特转债,123054,2020/7/6,思特奇,300608,通信互联,通信设备,115,-1.16%,-1.01%,17.2,-3.15%,8.7,2.80%,121.7,16.49,3.57,104.31,10.30%,4月9天,5.84年,3.84年,10.00%,10.40%,2.7,27,1.00%,0.35%,-2.36%,-2.57%,83.57,88.04,0.69,AA-,5.84%,125.30 ,125.7,37.7,-3.20%,6,思特转债
192,贵广转债!,110052,2019/3/29,贵广网络,600996,传媒娱乐,影视娱乐,113.78,1.14%,0.88%,7.64,4.09%,14,0.80%,118.5,7.94,1.8,96.22,18.20%,转股中,4.57年,2.57年,19.00%,18.30%,15,80,0.91%,0.20%,-3.32%,-3.58%,93.07,98.89,0.49,AA+,4.13%,131.98 ,131.3,32.4,1.60%,16,贵广转债!
155,华森转债!,128069,2019/7/11,华森制药,002907,医药,化学制药,115,-0.69%,-1.00%,19.04,-2.51%,8.1,2.30%,120,18.04,7.51,105.54,9.00%,转股中,4.87年,2.87年,3.90%,4.10%,3,76,0.89%,0.18%,-3.44%,-3.65%,87.76,92.35,0.67,AA-,5.63%,124.00 ,124.5,32.1,1.60%,43,华森转债!
209,山鹰转债,110047,2018/12/10,山鹰纸业,600567,造纸包装,包装用纸,114.02,-1.25%,0.81%,3.17,-0.94%,17,0.70%,118.1,3.34,1.06,94.91,20.10%,转股中,4.28年,2.28年,15.80%,15.00%,23,146,0.84%,0.10%,-3.94%,-4.19%,93.77,99.66,0.47,AA+,4.13%,134.12 ,133.1,33.5,-1.40%,37,山鹰转债
175,海环转债!,113532,2019/4/24,海峡环保,603817,城市公用,三废处理,108.81,-0.72%,-0.02%,6.65,-1.63%,2.2,0.40%,112.9,7.69,1.79,86.48,25.80%,转股中,4.65年,2.65年,15.40%,13.30%,4.6,30,0.81%,0.30%,-1.81%,-2.04%,91.15,91.87,0.45,AA,4.63%,134.61 ,131.1,39.3,0.10%,28,海环转债!
173,司尔转债!,128064,2019/5/7,司尔特,002538,化工,农化,110.85,-0.76%,0.57%,5.81,-0.34%,4.1,0.50%,114.9,6.07,1.11,95.72,15.80%,转股中,4.66年,2.66年,19.20%,18.40%,8,42,0.79%,0.21%,-2.45%,-2.68%,91.08,93.42,0.55,AA,4.63%,126.65 ,126,32.6,4.90%,56,司尔转债!
8,道恩转债,128117,2020/7/20,道恩股份,002838,化工,橡胶塑料,118.552,-1.58%,-0.67%,31.67,-3.18%,52,12.10%,123.5,29.32,11.15,108.02,9.80%,5月2天,5.90年,3.90年,2.80%,3.00%,3.6,129,0.71%,0.04%,-3.24%,-3.41%,82.63,88.91,0.71,AA-,5.84%,128.35 ,129.1,40.2,-6.10%,5,道恩转债
58,华体转债,113574,2020/4/27,华体科技,603679,城市公用,城市公用,112.02,-0.28%,-1.54%,29.02,-2.98%,1.2,0.50%,116.4,33.99,4.15,85.38,31.20%,59天,5.64年,3.64年,5.00%,4.30%,2.1,41,0.70%,0.18%,-1.81%,-2.04%,79.55,78.02,0.61,A+,7.54%,143.22 ,138.7,59.1,-0.80%,9,华体转债
180,招路转债!,127012,2019/4/30,招商公路,001965,机场高速,高速,105,0.00%,-0.13%,7.15,-0.42%,20,0.40%,108.2,9.09,0.92,78.66,33.50%,转股中,4.62年,2.62年,11.30%,8.90%,50,442,0.66%,0.32%,-1.06%,-1.19%,92.37,91.96,0.31,AAA,3.63%,138.50 ,131.3,39,-1.20%,37,招路转债!
181,岱勒转债!,123024,2019/4/17,岱勒新材,300700,机械装备,专用设备,110.5,-2.73%,0.18%,20.84,-5.96%,19,8.00%,113,24.9,3.49,83.69,32.00%,转股中,3.61年,1.61年,12.20%,10.20%,2.1,17,0.63%,-0.03%,-4.55%,-4.73%,89.76,87.79,0.43,A+,7.33%,142.50 ,137.3,47.5,9.10%,33,岱勒转债!
7,瀛通转债,128118,2020/8/5,瀛通通讯,002861,电子,电子产品,117.81,-2.07%,-0.60%,27.98,-4.01%,96,26.80%,122.1,27.53,3.24,101.63,15.90%,5月2天,5.90年,3.90年,8.80%,8.90%,3,34,0.62%,-0.02%,-2.91%,-3.12%,83.26,88.02,0.66,AA-,5.84%,133.71 ,134,46,-0.10%,1,瀛通转债
75,正元转债,123043,2020/3/31,正元智慧,300645,计算机及,软件开发,117.498,1.15%,0.29%,16.55,1.85%,13,6.20%,121.4,15.41,3.51,107.4,9.40%,33天,5.57年,3.57年,8.30%,9.00%,1.8,21,0.60%,-0.06%,-3.11%,-3.33%,79.97,81.76,0.78,A+,7.54%,126.90 ,127.6,45.8,2.50%,17,正元转债
100,开润转债!,123039,2020/1/23,开润股份,300577,服装纺织,纺织行业,117.888,0.20%,-0.89%,33.7,-0.94%,2.3,0.90%,121.5,33.22,8.07,101.44,16.20%,转股中,5.38年,3.38年,3.00%,3.10%,2.2,73,0.58%,-0.11%,-3.36%,-3.59%,81.1,82.96,0.73,A+,7.54%,134.09 ,134.3,51.4,6.80%,22,开润转债!
122,华锋转债!,128082,2020/1/6,华锋股份,002806,电子,元器件制,118.449,0.21%,0.94%,13.2,1.46%,11,2.60%,122,11.71,1.82,112.72,5.10%,转股中,5.32年,3.32年,15.10%,17.10%,3.5,23,0.57%,-0.14%,-3.42%,-3.69%,81.89,83.76,0.78,A+,7.54%,123.55 ,124.2,40.4,5.90%,56,华锋转债!
87,星帅转债,128094,2020/2/19,星帅尔,002860,家电,零部件制,118,0.65%,1.77%,15.62,3.03%,13,4.00%,121.5,13.95,2.06,111.97,5.40%,转股中,5.44年,3.44年,9.00%,10.10%,2.8,31,0.55%,-0.13%,-3.33%,-3.56%,80.76,82.62,0.8,A+,7.54%,123.40 ,124,41.4,1.50%,31,星帅转债
72,百达转债,113570,2020/4/8,百达精工,603331,机械装备,机械装备,112.06,-0.86%,-1.19%,11.8,-2.64%,2.6,0.80%,115.3,11.54,1.96,102.25,9.60%,39天,5.59年,3.59年,13.30%,13.60%,2.8,21,0.52%,0.03%,-2.04%,-2.23%,79.24,77.46,0.78,A+,7.54%,121.66 ,121.9,42.6,-12.60%,29,百达转债
126,白电转债,113549,2019/12/11,白云电器,603861,能源电力,电力设备,112.92,-1.13%,-0.06%,8.86,-1.88%,5,0.50%,115.1,8.88,1.69,99.77,13.20%,转股中,5.27年,3.27年,22.00%,21.90%,8.8,40,0.37%,-0.14%,-2.50%,-2.69%,88.22,90.16,0.63,AA,4.84%,126.12 ,126.1,35.9,3.00%,34,白电转债
276,骆驼转债!,113012,2017/7/18,骆驼股份,601311,汽车,零部件制,106.79,-0.75%,0.38%,7.56,-3.20%,3,0.60%,107.8,10.06,1.01,75.15,42.10%,转股中,2.62年,0.62年,6.00%,4.50%,5.1,85,0.36%,-0.20%,-6.20%,-6.56%,98.1,96.24,0.12,AA,4.49%,148.89 ,138.4,40.3,-2.10%,17,骆驼转债!
106,永创转债!,113559,2020/1/10,永创智能,603901,机械装备,专用设备,116.71,0.33%,-0.07%,10.14,0.40%,10,1.70%,118.9,10.32,3.36,98.26,18.80%,转股中,5.37年,3.37年,11.40%,11.20%,5.1,45,0.36%,-0.26%,-2.99%,-3.25%,86.15,88.38,0.64,AA-,5.84%,135.51 ,135.2,46.8,11.50%,25,永创转债!
119,鹰19转债,110063,2020/1/3,山鹰纸业,600567,造纸包装,包装用纸,114.2,-0.60%,0.08%,3.17,-0.94%,15,0.70%,116.2,3.3,1.06,96.06,18.90%,转股中,5.35年,3.35年,12.80%,12.30%,19,146,0.33%,-0.21%,-2.78%,-2.96%,89.31,92.99,0.55,AA+,4.34%,133.10 ,132.3,39.4,-1.40%,43,鹰19转债
165,亚泰转债!,128066,2019/5/14,郑中设计,002811,建筑,装饰工程,116.18,-0.78%,-0.83%,10.67,-2.20%,3,0.50%,117.5,9.67,1.28,110.34,5.30%,转股中,4.69年,2.69年,16.70%,18.40%,4.8,29,0.25%,-0.41%,-3.90%,-4.15%,88.97,91.42,0.73,AA-,5.63%,121.48 ,122,30.6,0.10%,62,亚泰转债!
6,宁建转债,113036,2020/8/6,宁波建工,601789,建筑,建筑工程,115.7,-0.94%,-0.62%,4.98,-2.35%,78,12.40%,117.3,4.86,1.64,102.47,12.90%,5月5天,5.91年,3.91年,11.10%,11.40%,5.4,49,0.24%,-0.28%,-2.65%,-2.82%,85.77,89.18,0.67,AA,4.84%,128.60 ,128.9,39.7,-5.60%,2,宁建转债
46,维尔转债,123049,2020/5/12,维尔利,300190,城市公用,三废处理,124.1,-2.01%,-0.23%,8.43,-3.10%,12,1.00%,124.8,7.48,1.67,112.7,10.10%,2月11天,5.68年,3.68年,13.90%,15.60%,9.2,66,0.10%,-0.62%,-4.37%,-4.59%,84.42,91.1,0.72,AA-,5.84%,134.20 ,135.5,44.4,-4.70%,10,维尔转债
23,中矿转债,128111,2020/7/7,中矿资源,002738,有色金属,有色行业,124,-1.37%,0.91%,17.79,-0.61%,12,1.20%,124.7,15.53,1.85,114.55,8.20%,4月10天,5.84年,3.84年,16.20%,18.50%,8,49,0.10%,-0.60%,-4.20%,-4.40%,83.56,90.18,0.76,AA-,5.84%,132.20 ,133.4,43.3,3.80%,4,中矿转债
233,湖广转债!,127007,2018/8/1,湖北广电,000665,传媒娱乐,影视娱乐,111.9,-0.08%,1.00%,5.52,1.66%,15,1.10%,112.3,5.58,0.83,98.92,13.10%,转股中,3.88年,1.88年,22.40%,22.20%,12,54,0.09%,-0.48%,-4.08%,-4.33%,94.66,96.23,0.55,AA+,4.13%,125.00 ,124.9,28.6,0.00%,17,湖广转债!
191,博彦转债,128057,2019/4/2,博彦科技,002649,计算机及,软件开发,116.65,-1.35%,-0.40%,9.25,-2.53%,3.3,0.50%,117.1,8.72,1.82,106.08,10.00%,转股中,4.57年,2.57年,11.00%,11.70%,5.4,49,0.09%,-0.57%,-4.29%,-4.52%,89.33,91.66,0.69,AA-,5.63%,126.65 ,127.2,35.6,-1.80%,31,博彦转债
120,新北转债!,128083,2019/12/31,新北洋,002376,电子,电子产品,114.635,-0.75%,-0.35%,10.76,-2.00%,1.5,0.10%,115.2,11.7,2.1,91.97,24.60%,转股中,5.34年,3.34年,12.20%,11.30%,8.8,72,0.09%,-0.41%,-2.84%,-3.04%,88,89.94,0.55,AA,4.84%,139.24 ,137.3,47.4,0.10%,18,新北转债!
203,台华转债!,113525,2019/1/11,台华新材,603055,服装纺织,纺织行业,114.6,0.27%,-0.27%,8.18,0.00%,13,2.50%,114.9,8.03,2.41,101.87,12.50%,转股中,4.36年,2.36年,7.50%,7.60%,4.7,63,0.06%,-0.55%,-4.03%,-4.28%,92.36,94.73,0.61,AA,4.63%,127.10 ,127.3,32.6,-11.50%,23,台华转债!
4,湖盐转债,110071,2020/7/31,湖南盐业,600929,食品饮料,食品饮料,114.81,0.24%,0.27%,7.1,0.71%,48,5.90%,115.2,6.6,2.59,107.58,6.70%,5月12天,5.92年,3.92年,11.00%,11.90%,7.2,65,0.06%,-0.40%,-2.48%,-2.65%,85.63,87.53,0.72,AA,4.84%,121.51 ,122,34.5,1.60%,4,湖盐转债
259,众兴转债!,128026,2018/1/3,众兴菌业,002772,农业,种植业,110.3,-0.79%,-0.87%,10.09,-3.72%,7.5,0.70%,110.3,11.45,1.55,88.12,25.20%,转股中,3.35年,1.35年,24.80%,21.80%,9.2,37,0.00%,-0.57%,-4.59%,-4.93%,94.7,92.21,0.45,AA-,5.63%,135.50 ,132.5,37.8,-1.70%,60,众兴转债!
281,广汽转债!!,113009,2016/2/4,广汽集团,601238,汽车,乘用车,107.51,-0.44%,0.39%,10.32,-1.81%,13,0.50%,107.5,14.26,1.32,72.37,48.60%,转股中,1.45年,回售中,2.40%,1.70%,25,1057,-0.01%,-0.98%,回售中,回售中,100.25,102.32,0.03,AAA,3.49%,156.11 ,142.6,40.3,4.30%,15,广汽转债!!
11,瑞达转债,128116,2020/7/24,瑞达期货,002961,金融,期货行业,115.5,-1.32%,-0.26%,32.42,-2.23%,34,4.40%,115.3,29.82,8.34,108.72,6.20%,4月28天,5.89年,3.89年,4.50%,4.90%,6.5,144,-0.03%,-0.49%,-2.64%,-2.81%,85.77,87.74,0.71,AA,4.84%,121.70 ,122.3,34.5,2.00%,4,瑞达转债
190,拓邦转债,128058,2019/4/8,拓邦股份,002139,电子,电子产品,123.1,-2.30%,0.56%,5.93,-2.79%,7.2,1.00%,122.6,5.47,2.45,108.41,13.60%,转股中,4.58年,2.58年,9.40%,10.20%,5.7,61,-0.09%,-0.92%,-5.86%,-6.15%,92.46,100.18,0.62,AA,4.63%,136.70 ,137.8,37.6,-1.70%,23,拓邦转债
166,永鼎转债!,110058,2019/5/8,永鼎股份,600105,通信互联,通信设备,115.39,0.08%,0.05%,5.68,0.18%,9.2,0.80%,114.9,5.04,2.91,112.7,2.40%,转股中,4.68年,2.68年,13.90%,15.70%,9.8,70,-0.09%,-0.66%,-3.81%,-4.02%,90.99,93.33,0.72,AA,4.63%,117.79 ,118.1,24.8,7.40%,56,永鼎转债!
95,正裕转债!,113561,2020/2/10,正裕工业,603089,汽车,零部件制,119.37,-0.47%,0.40%,12.07,-0.08%,4.3,1.20%,118.5,10.23,2.26,117.99,1.20%,转股中,5.39年,3.39年,11.50%,13.60%,2.9,25,-0.14%,-0.73%,-3.67%,-3.91%,81.1,80.87,0.84,A+,7.54%,120.57 ,120.8,39.7,7.60%,32,正裕转债!
9,美联转债,123057,2020/7/27,美联新材,300586,化工,橡胶塑料,119.588,2.47%,0.63%,10.19,4.41%,105,42.80%,118.2,9.91,3.45,102.83,16.30%,5月1天,5.89年,3.89年,4.50%,4.60%,2.1,46,-0.20%,-0.74%,-3.39%,-3.57%,82.89,85.19,0.71,AA-,5.84%,135.89 ,136.4,51.2,8.80%,2,美联转债
170,明泰转债!,113025,2019/5/7,明泰铝业,601677,有色金属,铝金属,116.26,0.12%,-0.01%,11.12,0.18%,3.3,0.20%,115.1,11.2,1,99.29,17.10%,转股中,4.67年,2.67年,26.80%,26.70%,18,69,-0.22%,-0.79%,-4.08%,-4.29%,91.09,93.57,0.59,AA,4.63%,133.36 ,133.2,39.7,6.70%,31,明泰转债!
32,今天转债,123051,2020/6/30,今天国际,300532,计算机及,软件开发,124.4,-2.38%,-1.73%,11.09,-4.81%,47,13.20%,122.8,8.8,4.06,126.02,-1.30%,4月3天,5.82年,3.82年,9.20%,11.60%,2.8,30,-0.23%,-0.88%,-4.27%,-4.48%,78.65,81.25,0.85,A+,7.54%,123.10 ,122.8,41.5,4.30%,9,今天转债
103,东风转债,113030,2020/1/20,东风股份,601515,造纸包装,包装材料,119.1,-0.01%,0.20%,7.21,0.28%,10,2.90%,117.3,6.75,2.3,106.81,11.50%,转股中,5.38年,3.38年,3.10%,3.30%,3,96,-0.29%,-0.85%,-3.85%,-4.04%,87.97,91.45,0.69,AA,4.84%,130.60 ,131.4,39.9,3.00%,16,东风转债
41,交科转债,128107,2020/5/22,浙江交科,002061,建筑,建筑工程,117.173,-0.70%,0.00%,5.71,-1.04%,75,2.50%,115.3,5.36,1.02,106.53,10.00%,2月20天,5.70年,3.70年,31.80%,33.90%,25,79,-0.29%,-0.76%,-3.11%,-3.29%,88.21,90.92,0.67,AA+,4.34%,127.17 ,127.8,36.9,1.30%,13,交科转债
64,联创转债!,128101,2020/4/13,联创电子,002036,电子,液晶显示,117.1,-0.52%,-0.68%,11.51,-2.95%,3.9,1.10%,115.1,14.48,3.54,79.49,47.30%,43天,5.60年,3.60年,2.80%,2.20%,3,107,-0.31%,-0.79%,-3.22%,-3.40%,86.84,88.76,0.41,AA,4.84%,164.40 ,154.7,66,-6.90%,15,联创转债!
241,敖东转债!,127006,2018/5/11,吉林敖东,000623,金融,证券行业,109.4,-0.55%,-0.64%,17.13,-3.38%,19,0.70%,108,20.42,0.91,83.89,30.40%,转股中,3.59年,1.59年,12.10%,10.10%,24,199,-0.36%,-0.78%,-4.10%,-4.28%,94.71,93.56,0.35,AA+,4.13%,139.80 ,134.9,40.2,-1.90%,27,敖东转债!
248,江银转债!,128034,2018/2/14,江阴银行,002807,金融,银行行业,110.55,-0.36%,-0.57%,4.25,-1.85%,2.7,0.10%,109.1,4.5,0.79,94.44,17.10%,转股中,3.47年,无权,19.00%,18.00%,18,92,-0.39%,-0.87%,无权,无权,无权,95.03,0.51,AA+,4.13%,127.65 ,126.7,31.6,-3.60%,31,江银转债!
249,道氏转债!!,123007,2018/1/26,道氏技术,300409,建筑,建筑行业,112.8,-0.96%,0.54%,12.77,-1.08%,3,0.90%,111.3,14.95,2.43,85.42,32.10%,转股中,3.39年,1.39年,5.20%,4.40%,3,59,-0.40%,-1.01%,-5.83%,-6.16%,94.53,92.83,0.39,AA-,5.63%,144.90 ,140.2,45.7,1.10%,15,道氏转债!!
134,北方转债,127014,2019/11/21,北方国际,000065,建筑,建筑工程,118,0.47%,-2.01%,8.46,-2.76%,15,2.10%,115.6,8.75,1.34,96.69,22.00%,转股中,5.21年,3.21年,8.90%,8.60%,5.8,65,-0.40%,-0.93%,-3.69%,-3.91%,90.38,93.13,0.56,AA+,4.34%,140.00 ,139.3,46.2,3.80%,18,北方转债
150,合兴转债!,128071,2019/9/16,合兴包装,002228,造纸包装,包装材料,117.593,-0.35%,-1.24%,4.62,-2.33%,8.8,1.30%,115.1,4.28,1.81,107.94,8.90%,转股中,5年7天,3年7天,11.00%,11.90%,6,54,-0.43%,-0.97%,-3.94%,-4.14%,89.26,91.23,0.68,AA,4.84%,126.49 ,127.2,36,-0.90%,28,合兴转债!
98,汽模转2,128090,2020/1/23,天汽模,002510,汽车,零部件制,118.199,-0.69%,-1.24%,4.57,-2.77%,8.5,1.50%,115.2,4.21,1.58,108.55,8.90%,转股中,5.38年,3.38年,11.30%,12.30%,4.7,42,-0.49%,-0.98%,-3.65%,-3.84%,87.83,89.77,0.7,AA,4.84%,127.10 ,127.8,38.1,-3.40%,28,汽模转2
147,九洲转债,123030,2019/9/12,九洲集团,300040,能源电力,电力设备,123.51,-1.13%,0.01%,6.87,-1.43%,10,3.00%,120.5,5.65,1.2,121.59,1.60%,转股中,5年11天,3年11天,12.00%,14.60%,2.8,24,-0.50%,-1.19%,-5.30%,-5.52%,86.97,91.17,0.79,AA-,5.84%,125.11 ,125.4,34.3,-3.00%,32,九洲转债
253,蒙电转债!,110041,2018/1/9,内蒙华电,600863,能源电力,电力供应,112.65,-0.29%,0.29%,2.55,0.00%,1,0.00%,110.3,2.69,1.26,94.8,18.80%,转股中,3.37年,1.37年,12.60%,12.00%,19,148,-0.64%,-1.20%,-5.83%,-6.16%,97.37,98.07,0.49,AAA,3.63%,131.45 ,130.5,32.4,-2.70%,9,蒙电转债!
130,金力转债!,123033,2019/11/25,金力永磁,300748,电子,元器件制,126,6.89%,0.28%,44.7,9.99%,697,131%,121.9,41.09,15.21,108.79,15.80%,转股中,5.23年,3.23年,2.40%,2.60%,4.4,185,-0.65%,-1.35%,-5.19%,-5.47%,87.19,91.38,0.72,AA-,5.84%,141.80 ,143.2,51.8,16.30%,26,金力转债!
104,淮矿转债!,110065,2020/1/13,淮北矿业,600985,煤炭,煤炭开采,114.9,0.32%,-1.29%,9.07,-1.63%,6.8,0.20%,111,9.33,1,97.21,18.20%,转股中,5.37年,3.37年,14.00%,13.60%,28,197,-0.65%,-1.02%,-2.93%,-3.12%,90.68,91,0.6,AAA,3.84%,133.10 ,132.6,41.6,-4.10%,24,淮矿转债!
278,洪涛转债!,128013,2016/8/23,洪涛股份,002325,建筑,装饰工程,111.392,-0.73%,-0.76%,3.26,-2.40%,16,1.20%,109.8,3.1,1.34,105.16,5.90%,转股中,1.97年,回售中,29.50%,31.00%,12,41,-0.73%,-1.64%,回售中,回售中,100.3,98.92,0.62,AA-,5.49%,117.29 ,117.6,17.3,-1.50%,90,洪涛转债!
183,亨通转债!,110056,2019/4/16,亨通光电,600487,通信互联,通信设备,119.21,-0.35%,-0.86%,16.3,-1.93%,9,0.40%,114.8,15.58,2.32,104.62,13.90%,转股中,4.61年,2.61年,5.40%,5.60%,17,318,-0.83%,-1.40%,-5.07%,-5.29%,92.42,95.6,0.63,AA+,4.13%,133.11 ,133.8,38.2,-4.90%,31,亨通转债!
81,天目转债,113564,2020/3/16,天目湖,603136,旅游餐饮,旅游,132.89,0.90%,-0.77%,29.44,0.17%,63,15.90%,126.7,23.8,3.89,123.7,7.40%,29天,5.56年,3.56年,8.80%,10.90%,3,34,-0.87%,-1.65%,-6.29%,-6.51%,84.92,93.09,0.8,AA-,5.84%,140.29 ,142.1,49,1.60%,13,天目转债
168,创维转债!,127013,2019/5/16,创维数字,000810,电子,电子产品,122.8,-1.25%,-1.10%,12.1,-3.66%,12,1.00%,117.9,11.39,3.42,106.23,15.60%,转股中,4.68年,2.68年,7.60%,8.10%,9.8,129,-0.88%,-1.54%,-5.91%,-6.12%,91,95.77,0.64,AA,4.63%,138.40 ,139.4,43.6,-4.10%,23,创维转债!
260,特一转债!,128025,2017/12/28,特一药业,002728,医药,化学制药,113.192,-0.38%,-0.28%,15.36,-0.97%,8.5,2.50%,109.8,14.7,2.7,104.49,8.30%,转股中,3.33年,1.33年,9.60%,10.00%,3,31,-0.93%,-1.47%,-6.45%,-6.76%,94.57,91.86,0.68,AA-,5.63%,121.49 ,121.9,27.3,1.10%,43,特一转债!
247,无锡转债!,110043,2018/3/14,无锡银行,600908,金融,银行行业,112.88,-1.80%,0.40%,5.62,-2.60%,51,1.50%,109.1,5.79,0.9,97.06,16.30%,转股中,3.48年,无权,28.90%,28.00%,30,104,-0.99%,-1.47%,无权,无权,无权,94.99,0.54,AA+,4.13%,129.18 ,128.7,33.7,-4.80%,35,无锡转债!
127,利德转债!,123035,2019/12/9,利亚德,300296,电子,LED制,122.427,-1.27%,-0.17%,6.63,-2.64%,3,0.30%,115.6,6.98,2,94.99,28.90%,转股中,5.27年,3.27年,4.70%,4.50%,8,169,-1.11%,-1.62%,-4.67%,-4.88%,90.16,92.91,0.54,AA+,4.34%,151.33 ,149.9,57,-4.70%,17,利德转债!
232,博世转债!,123010,2018/8/14,博世科,300422,城市公用,三废处理,117.4,-0.42%,-1.98%,12.3,-3.76%,1.6,0.30%,112.3,12.2,2.54,100.82,16.40%,转股中,3.90年,1.90年,8.60%,8.70%,4.3,50,-1.15%,-1.71%,-6.25%,-6.49%,91.85,91.03,0.64,AA-,5.63%,133.80 ,134,42.1,0.70%,24,博世转债!
142,游族转债!!,128074,2019/10/21,游族网络,002174,通信互联,互联网,127.749,-1.61%,-1.22%,21.26,-2.83%,48,5.40%,120.3,17.06,3.73,124.62,2.50%,转股中,5年45天,3年45天,3.60%,4.40%,6.8,192,-1.19%,-1.85%,-6.18%,-6.38%,89.02,94.9,1,AA,4.84%,130.25 ,130.9,36,-7.50%,22,游族转债!!
153,荣晟转债!,113541,2019/8/13,荣晟环保,603165,造纸包装,包装用纸,122.32,-1.91%,-0.49%,13.92,-3.00%,14,3.30%,115,11.54,1.7,120.62,1.40%,转股中,4.95年,2.95年,9.50%,11.50%,3.3,35,-1.26%,-1.79%,-5.26%,-5.46%,87.38,88.14,0.8,AA-,5.63%,123.72 ,124,35.9,6.10%,52,荣晟转债!
20,比音转债,128113,2020/7/15,比音勒芬,002832,服装纺织,服装行业,126.5,-0.63%,-0.81%,15.14,-2.20%,16,1.90%,117.3,14.9,2.27,101.61,24.50%,4月14天,5.85年,3.85年,8.70%,8.80%,6.9,79,-1.30%,-1.81%,-4.85%,-5.01%,86.01,89.43,0.65,AA,4.84%,151.00 ,151.4,62,-11.90%,4,比音转债
235,华通转债!,128040,2018/7/13,华通医药,002758,医药,医药商业,118.05,-0.71%,-1.15%,11.57,-2.85%,3.3,1.30%,112.3,11.29,3.85,102.48,15.20%,转股中,3.85年,1.85年,9.10%,9.40%,2.2,24,-1.31%,-1.88%,-6.68%,-6.93%,92.14,91.32,0.65,AA-,5.63%,133.25 ,133.6,41.5,-2.10%,31,华通转债!
70,华安转债!,110067,2020/4/9,华安证券,600909,金融,证券行业,118.94,-2.16%,-1.74%,8.51,-6.48%,78,2.30%,110.5,8.67,2.26,98.15,21.20%,40天,5.59年,无权,9.10%,8.90%,28,308,-1.32%,-1.66%,无权,无权,无权,89.75,0.6,AAA,3.84%,140.14 ,139.7,50,1.30%,26,华安转债!
208,华源转债!,128049,2018/12/20,华源控股,002787,造纸包装,包装材料,122,7.11%,0.47%,8.61,9.96%,108,23.00%,115.2,7.42,1.86,116.04,5.10%,转股中,4.30年,2.30年,14.90%,17.30%,4,27,-1.35%,-1.97%,-6.50%,-6.75%,90.59,91.51,0.76,AA-,5.63%,127.10 ,128,36.5,15.70%,59,华源转债!
189,中鼎转2!,127011,2019/4/4,中鼎股份,000887,汽车,零部件制,122.501,-0.45%,0.49%,11.29,0.09%,25,1.70%,115.2,11.59,1.58,97.41,25.80%,转股中,4.58年,2.58年,8.70%,8.50%,12,138,-1.36%,-1.94%,-6.00%,-6.23%,92.76,96.09,0.54,AA+,4.13%,148.30 ,147.6,51.5,18.50%,30,中鼎转2!
128,川投转债,110061,2019/12/2,川投能源,600674,能源电力,水电,119.2,-0.37%,-0.21%,9.57,-0.93%,1.8,0.00%,111,9.58,1.56,99.9,19.30%,转股中,5.26年,3.26年,9.50%,9.50%,40,421,-1.37%,-1.75%,-4.07%,-4.26%,91.08,91.39,0.62,AAA,3.84%,138.50 ,138.5,47.1,-0.50%,17,川投转债
