序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
244,铁汉转债!,123004,2018/1/26,铁汉生态,300197,城市公用,生态环境,98.229,-0.28%,0.20%,2.77,-0.72%,9,1.10%,109.8,3.98,1.25,69.6,41.10%,转股中,3.42年,1.42年,12.80%,8.90%,8.3,65,3.38%,2.81%,2.78%,2.45%,95.7,94.75,2.84,97.59,0.70%,49%,20%,15%,0.11,AA,4.50%,139.33 ,126.9,31.2,3.10%,29,铁汉转债!
36,起步转债!,113576,2020/5/7,起步股份,603557,服装纺织,鞋服行业,101.66,0.23%,-0.49%,8.94,-0.56%,11,2.20%,121.8,10.55,2.48,84.74,20.00%,2月29天,5.73年,3.73年,12.30%,10.40%,5.2,42,3.28%,2.60%,0.77%,0.53%,84.37,88.96,18.34,107.29,-5.20%,50%,11%,17%,0.48,AA-,5.78%,121.66 ,118.6,29.6,2.10%,24,起步转债!
127,万里转债!,123032,2019/10/31,万里马,300591,服装纺织,服装纺织,113.49,-0.80%,-0.85%,6.72,-2.75%,63,30.90%,132.8,6.89,4.29,97.53,16.40%,转股中,5.23年,3.23年,8.60%,8.40%,1.8,21,3.17%,2.12%,-1.51%,-1.94%,84.96,92.45,29.22,121.68,-6.70%,42%,9%,18%,0.6,A+,7.48%,129.89 ,129.4,37,0.00%,44,万里转债!
261,永东转债!,128014,2017/7/18,永东股份,002753,化工,化工,102.458,0.12%,-0.10%,8.39,0.24%,1.6,0.50%,111.3,12.6,1.82,66.59,53.90%,转股中,2.75年,0.75年,10.70%,7.10%,3.4,31,3.11%,2.32%,-0.71%,-1.09%,97.12,96.78,1.76,98.54,4.00%,46%,32%,17%,0.07,AA-,5.31%,156.36 ,138.3,41.2,-8.90%,41,永东转债!
217,海澜转债!,110045,2018/7/31,海澜之家,600398,服装纺织,服装行业,98.5,0.19%,-0.20%,6,-0.17%,10,0.40%,111.1,11.75,2.01,51.06,92.90%,转股中,3.98年,1.98年,11.10%,5.70%,29,265,3.11%,2.57%,1.65%,1.46%,93.8,95.22,0.36,95.58,3.10%,31%,31%,16%,0.02,AA+,4.00%,191.40 ,145.9,50.7,-1.40%,59,海澜转债!
254,时达转债!,128018,2017/12/4,新时达,002527,机械装备,机器人及,99.974,0.06%,-0.01%,5.2,0.39%,1.6,0.20%,110.3,7.42,1.3,70.08,42.70%,转股中,3.30年,1.30年,27.30%,19.10%,8.8,32,3.09%,2.48%,1.93%,1.55%,96.42,95.69,2.99,98.68,1.30%,36%,22%,16%,0.13,AA,4.50%,142.67 ,129.9,33.4,0.00%,43,时达转债!
100,鸿达转债,128085,2020/1/8,鸿达兴业,002002,化工,化工,106.46,-0.58%,-1.30%,3.83,-3.53%,70,2.70%,124.8,3.92,1.44,97.7,9.00%,转股中,5.41年,3.41年,24.50%,23.90%,24,99,3.05%,2.25%,-0.58%,-0.81%,88.42,97.46,19.88,117.35,-9.30%,47%,<2%,16%,0.53,AA,4.78%,115.46 ,115.2,17.8,-2.90%,76,鸿达转债
259,久其转债!,128015,2017/7/18,久其软件,002279,计算机及,软件开发,101.77,0.02%,0.03%,7.18,0.28%,8.9,1.10%,110.8,9.48,6.69,75.74,34.40%,转股中,2.89年,0.89年,15.30%,11.60%,7.8,51,3.03%,2.31%,-0.21%,-0.49%,94.56,91.35,6.59,97.94,3.90%,47%,28%,17%,0.18,A+,7.01%,136.17 ,127.8,33.2,-5.00%,59,久其转债!
29,纵横转债,113573,2020/5/22,纵横通信,603602,通信互联,通信设备,105.75,0.28%,-1.51%,15.71,-2.30%,6.2,2.20%,124.7,18.81,3.57,83.52,26.60%,3月6天,5.75年,3.75年,8.40%,7.00%,2.7,32,2.97%,2.23%,-0.28%,-0.51%,79.16,83.17,21.83,105,0.70%,75%,16%,16%,0.53,A+,7.48%,132.35 ,128,44.8,-6.70%,10,纵横转债
59,科达转债!,113569,2020/4/8,苏州科达,603660,通信互联,物联网,102.72,-0.31%,0.15%,9.22,-0.86%,6.9,1.30%,120.7,14.84,2.68,62.13,65.30%,56天,5.64年,3.64年,11.20%,7.00%,5.2,46,2.96%,2.30%,0.34%,0.13%,84.2,88.5,5.86,94.35,8.90%,52%,34%,17%,0.19,AA-,5.78%,168.02 ,143.3,54.8,-5.30%,20,科达转债!
