序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
206,岭南转债!,128044,2018/9/4,岭南股份,002717,城市公用,生态环境,103.398,0.02%,0.37%,4.32,1.65%,2.3,0.30%,111.8,5.9,1.45,73.22,41.20%,转股中,4年26天,2年26天,9.90%,7.30%,6.6,66,1.98%,1.43%,-0.04%,-0.33%,93.71,93.83,5.4,99.23,4.20%,66%,26%,16%,0.23,AA,4.50%,144.60 ,133.6,39.8,-5.50%,29,岭南转债!
108,华锋转债!,128082,2020/1/6,华锋股份,002806,电子,元器件制,110.09,0.25%,-0.37%,12.01,-0.17%,18,4.80%,122,11.71,1.65,102.56,7.30%,转股中,5.38年,3.38年,16.60%,17.10%,3.5,21,1.98%,1.26%,-1.32%,-1.59%,81.71,83.65,36.29,119.94,-8.20%,67%,6%,18%,0.72,A+,7.48%,117.39 ,117.6,34,-1.10%,57,华锋转债!
86,开润转债!,123039,2020/1/23,开润股份,300577,服装纺织,纺织行业,109.8,-0.66%,-1.34%,27.9,-3.66%,2.1,0.90%,121.5,33.22,6.68,83.99,30.70%,转股中,5.44年,3.44年,3.70%,3.10%,2.2,61,1.92%,1.23%,-1.36%,-1.60%,80.92,82.86,21.5,104.36,5.20%,53%,22%,16%,0.55,A+,7.48%,140.50 ,135.6,52.8,-2.80%,22,开润转债!
51,雷迪转债,123045,2020/4/13,雷迪克,300652,汽车,零部件制,107.669,0.94%,-0.43%,19.93,0.71%,12,3.80%,119.4,20.13,2.24,99.01,8.70%,2月1天,5.65年,3.65年,16.50%,16.30%,2.9,18,1.89%,1.28%,-0.77%,-1.00%,79.68,80.22,35.82,116.04,-7.20%,35%,8%,18%,0.71,A+,7.48%,116.37 ,116.3,36.1,0.90%,36,雷迪转债
98,孚日转债!,128087,2020/1/16,孚日股份,002083,服装纺织,家纺,102.775,-0.13%,-0.24%,5.72,-0.69%,19,2.80%,113.3,6.39,1.35,89.51,14.80%,转股中,5.41年,3.41年,12.50%,11.20%,6.5,52,1.85%,1.39%,0.28%,0.07%,87.98,88.45,18.25,106.71,-3.70%,31%,12%,16%,0.54,AA,4.78%,117.58 ,116,27.6,0.70%,47,孚日转债!
43,利群转债!,113033,2020/4/21,利群股份,601366,商业零售,商场,104.3,0.30%,-0.38%,6.36,-0.16%,16,0.90%,115.3,7.16,1.19,88.83,17.40%,2月21天,5.70年,3.70年,32.90%,29.20%,18,55,1.81%,1.31%,-0.13%,-0.32%,86.8,88.81,18.88,107.69,-3.10%,32%,14%,17%,0.52,AA,4.78%,121.70 ,119.8,31,1.30%,30,利群转债!
155,核能转债!,113026,2019/5/8,XD中国核,601985,能源电力,核电,101.06,-0.68%,0.58%,4.31,-0.46%,39,0.50%,109.8,6.08,1.34,70.89,42.60%,转股中,4.74年,2.74年,11.60%,8.20%,78,671,1.80%,1.40%,0.76%,0.54%,93.55,93.57,4.21,97.78,3.40%,20%,20%,15%,0.21,AAA,3.50%,143.66 ,131.2,37.7,-0.50%,51,核能转债!
141,华森转债!,128069,2019/7/11,华森制药,002907,医药,化学制药,110.2,-0.78%,0.51%,17.48,-0.46%,19,5.70%,120,18.04,6.9,96.9,13.70%,转股中,4.93年,2.93年,4.30%,4.10%,3,70,1.77%,1.06%,-2.02%,-2.23%,87.82,92.61,21.56,114.16,-3.50%,62%,13%,16%,0.58,AA-,5.50%,123.90 ,123.5,30.9,-3.50%,42,华森转债!
40,鲁泰转债,127016,2020/5/13,鲁 泰Ａ,000726,服装纺织,纺织行业,105.3,0.76%,-0.52%,7.76,0.52%,12,0.80%,116.2,8.91,0.85,87.09,20.90%,2月28天,5.72年,3.72年,21.00%,18.30%,14,67,1.77%,1.25%,-0.40%,-0.58%,88.22,91.82,14.96,106.77,-1.40%,21%,15%,16%,0.46,AA+,4.28%,126.20 ,123.5,31.7,-1.70%,18,鲁泰转债
194,华源转债!,128049,2018/12/20,华源控股,002787,造纸包装,包装材料,107,0.19%,0.05%,7.13,0.42%,1.9,0.40%,115.2,7.42,1.54,96.09,11.40%,转股中,4.36年,2.36年,18.00%,17.30%,4,22,1.75%,1.11%,-1.31%,-1.58%,90.58,91.7,21.84,113.54,-5.80%,63%,11%,18%,0.57,AA-,5.50%,118.40 ,117.9,26.2,3.10%,59,华源转债!
161,海环转债!,113532,2019/4/24,海峡环保,603817,城市公用,三废处理,104.23,-0.35%,1.30%,6.55,2.18%,5.6,1.20%,112.9,7.69,1.77,85.18,22.40%,转股中,4.70年,2.70年,15.60%,13.30%,4.6,29,1.75%,1.23%,-0.28%,-0.51%,91.23,92.16,13.44,105.6,-1.30%,37%,18%,17%,0.43,AA,4.50%,126.63 ,123.3,31.1,4.80%,28,海环转债!
74,银河转债!,123042,2020/2/14,金银河,300619,机械装备,专用设备,105.7,-1.11%,0.12%,20.88,-1.69%,13,7.30%,115.9,24.4,3.29,85.57,23.50%,1.2天,5.49年,3.49年,10.70%,9.20%,1.7,16,1.73%,1.20%,-0.39%,-0.61%,80.35,78.74,25.77,104.51,1.10%,49%,21%,18%,0.59,A+,7.48%,129.20 ,125.8,45.5,2.20%,25,银河转债!
158,核建转债!,113024,2019/4/26,中国核建,601611,建筑,建筑工程,101.86,0.00%,0.08%,6.62,0.46%,2.7,0.10%,109.7,9.76,1.71,67.83,50.20%,转股中,4.72年,2.72年,17.10%,11.60%,30,175,1.61%,1.22%,0.46%,0.24%,93.51,93.53,3.79,97.32,4.70%,32%,26%,16%,0.18,AAA,3.50%,152.06 ,135.9,42.4,1.00%,43,核建转债!
47,久吾转债,123047,2020/4/17,久吾高科,300631,机械装备,专用设备,119.29,-1.00%,-0.86%,19.8,-2.46%,6.2,2.00%,130.1,17.61,3.01,112.44,6.10%,2月9天,5.67年,3.67年,12.20%,13.70%,2.5,21,1.58%,0.71%,-3.04%,-3.33%,80.75,87.42,43.81,131.22,-9.10%,51%,<2%,18%,0.76,A+,7.48%,125.39 ,126.1,38.7,-1.80%,20,久吾转债
116,金力转债!,123033,2019/11/25,金力永磁,300748,电子,元器件制,112.5,-0.44%,-2.99%,36.44,-6.78%,95,19.20%,121.9,41.09,12.4,88.68,26.90%,转股中,5.29年,3.29年,2.90%,2.60%,4.4,151,1.57%,0.85%,-1.90%,-2.19%,87.07,91.34,18.57,109.91,2.40%,73%,15%,16%,0.51,AA-,5.78%,139.40 ,136.3,45,0.70%,26,金力转债!
175,中鼎转2!,127011,2019/4/4,中鼎股份,000887,汽车,零部件制,107.768,-0.96%,0.64%,8.59,-1.38%,6.2,0.50%,115.2,11.79,1.2,72.86,47.90%,转股中,4.64年,2.64年,11.40%,8.30%,12,105,1.48%,0.88%,-1.43%,-1.67%,92.86,96.41,5.71,102.12,5.50%,38%,29%,17%,0.23,AA+,4.00%,155.67 ,142.7,46.3,0.10%,30,中鼎转2!
152,永鼎转债!,110058,2019/5/8,永鼎股份,600105,通信互联,通信设备,107.29,0.00%,0.11%,4.81,0.21%,20,1.90%,114.9,5.04,2.46,95.44,12.40%,转股中,4.74年,2.74年,16.40%,15.70%,9.8,60,1.48%,0.91%,-1.27%,-1.50%,91.08,93.62,19.15,112.78,-4.90%,49%,12%,17%,0.54,AA,4.50%,119.69 ,119.1,25.5,4.00%,53,永鼎转债!
45,同德转债,128103,2020/4/21,同德化工,002360,化工,化工,112.3,0.16%,0.97%,5.43,1.50%,5,3.10%,121.8,5.18,1.86,104.83,7.10%,2月22天,5.69年,3.69年,6.80%,7.10%,1.4,21,1.47%,0.80%,-1.82%,-2.05%,79.57,81.61,39.2,120.8,-7.00%,33%,9%,17%,0.76,A+,7.48%,119.40 ,119.8,38.2,4.10%,11,同德转债
110,海亮转债,128081,2019/12/16,海亮股份,002203,有色金属,铜金属,106.982,-0.94%,0.42%,8.78,-1.01%,33,1.00%,115.2,9.76,1.94,89.96,18.90%,转股中,5.34年,3.34年,18.40%,16.50%,32,171,1.42%,0.90%,-0.89%,-1.09%,88.18,90.21,18.36,108.57,-1.50%,27%,17%,17%,0.52,AA,4.78%,125.88 ,124,33.8,-3.30%,52,海亮转债
195,山鹰转债,110047,2018/12/10,山鹰纸业,600567,造纸包装,包装用纸,111.26,-0.54%,-0.02%,3.1,-1.27%,14,0.50%,118.1,3.34,1.04,92.81,19.90%,转股中,4.34年,2.34年,16.10%,15.00%,23,142,1.41%,0.67%,-2.89%,-3.15%,93.84,99.95,13.42,113.37,-1.90%,31%,16%,17%,0.44,AA+,4.00%,131.16 ,129.7,29.8,0.50%,38,山鹰转债
146,文灿转债!,113537,2019/7/5,文灿股份,603348,汽车,零部件制,113.93,-0.18%,0.21%,19,0.05%,1.8,0.30%,121.5,19.78,1.92,96.06,18.60%,转股中,4.89年,2.89年,12.90%,12.40%,5.7,44,1.35%,0.59%,-2.84%,-3.10%,88.8,94.07,21.64,115.71,-1.50%,56%,16%,17%,0.55,AA-,5.50%,132.53 ,131.8,37.7,-4.10%,29,文灿转债!
55,红相转债,123044,2020/4/13,红相股份,300427,能源电力,电力设备,116.68,-2.74%,2.13%,17.6,-1.12%,16,2.30%,125.5,18.8,2.72,93.62,24.60%,2月1天,5.65年,3.65年,9.30%,8.70%,5.9,63,1.33%,0.57%,-2.76%,-3.00%,84.98,92.1,22.72,114.81,1.60%,49%,23%,17%,0.55,AA-,5.78%,141.28 ,139.7,47.6,-2.50%,17,红相转债
178,贵广转债!,110052,2019/3/29,XD贵广网,600996,传媒娱乐,影视娱乐,111.83,-0.20%,-0.68%,7.31,-2.01%,9.3,0.50%,118.5,7.94,1.72,92.07,21.50%,转股中,4.63年,2.63年,19.90%,18.30%,15,77,1.29%,0.58%,-2.65%,-2.90%,93.17,99.22,13.18,112.4,-0.50%,44%,15%,16%,0.44,AA+,4.00%,133.33 ,131.6,32.4,-3.60%,16,贵广转债!
112,白电转债,113549,2019/12/11,白云电器,603861,能源电力,电力设备,107.81,-0.58%,1.20%,8.28,1.10%,5.5,0.60%,115.1,8.88,1.58,93.24,15.60%,转股中,5.33年,3.33年,23.50%,21.90%,8.8,37,1.26%,0.74%,-1.14%,-1.34%,88.15,90.18,19.68,109.87,-1.90%,41%,16%,16%,0.56,AA,4.78%,123.41 ,122.4,32.2,0.20%,35,白电转债
257,林洋转债!,113014,2017/11/13,XD林洋能,601222,能源电力,电力设备,106.05,0.16%,-0.03%,6.51,0.62%,24,0.70%,110.3,8.54,1.18,76.23,39.10%,转股中,3.27年,1.27年,26.30%,20.10%,30,114,1.23%,0.64%,-2.16%,-2.53%,96.54,95.81,4.69,100.49,5.50%,39%,28%,16%,0.21,AA,4.50%,145.15 ,135.9,39.3,12.70%,24,林洋转债!
44,华体转债,113574,2020/4/27,华体科技,603679,城市公用,城市公用,108.71,-0.91%,-1.42%,28.9,-3.83%,7.7,3.40%,116.4,33.99,4.14,85.03,27.90%,2月20天,5.70年,3.70年,5.10%,4.30%,2.1,41,1.23%,0.71%,-1.01%,-1.24%,79.39,77.93,25.15,103.08,5.50%,51%,22%,16%,0.61,A+,7.48%,136.61 ,132.4,53,-23.40%,9,华体转债
37,滨化转债,113034,2020/4/30,滨化股份,601678,化工,化工,107.5,-0.07%,-0.59%,4.51,-1.10%,17,0.70%,115.1,4.68,1.11,96.37,11.60%,2月29天,5.73年,3.73年,34.50%,33.20%,24,70,1.22%,0.74%,-0.95%,-1.13%,86.51,88.52,24.04,112.56,-4.50%,46%,11%,17%,0.6,AA,4.78%,119.10 ,118.6,30.1,0.60%,30,滨化转债
156,明泰转债!,113025,2019/5/7,明泰铝业,601677,有色金属,铝金属,109,1.28%,0.38%,9.89,3.67%,38,1.90%,115.1,11.2,0.89,88.3,23.40%,转股中,4.73年,2.73年,30.20%,26.70%,18,61,1.18%,0.60%,-1.81%,-2.04%,91.17,93.86,13.88,107.75,1.20%,30%,20%,16%,0.45,AA,4.50%,132.40 ,129.7,35.8,5.50%,32,明泰转债!
46,龙净转债!,110068,2020/4/15,XD龙净环,600388,城市公用,三废处理,107.72,1.05%,-2.01%,9.5,-1.96%,21,1.00%,115,10.73,1.85,88.54,21.70%,2月13天,5.68年,3.68年,19.70%,17.40%,20,102,1.18%,0.70%,-1.04%,-1.21%,88.2,91.01,16.83,107.84,-0.10%,30%,15%,17%,0.49,AA+,4.28%,129.42 ,126.9,35.9,3.30%,28,龙净转债!
81,正裕转债!,113561,2020/2/10,正裕工业,603089,汽车,零部件制,111.42,0.37%,2.27%,10.74,3.47%,14,4.50%,118.5,10.23,2.01,104.99,6.10%,转股中,5.45年,3.45年,12.90%,13.60%,2.9,22,1.16%,0.56%,-1.74%,-1.98%,80.92,80.77,39.91,120.68,-7.70%,54%,11%,18%,0.76,A+,7.48%,117.52 ,117.9,36.9,4.80%,31,正裕转债!
120,北方转债,127014,2019/11/21,北方国际,000065,建筑,建筑工程,109.102,-0.45%,0.39%,7.8,-0.13%,3.7,0.60%,115.6,8.75,1.23,89.14,22.40%,转股中,5.27年,3.27年,9.60%,8.60%,5.8,60,1.13%,0.59%,-1.38%,-1.60%,90.33,93.18,15.86,109.04,0.10%,47%,19%,17%,0.48,AA+,4.28%,131.50 ,129.1,35.9,0.70%,18,北方转债
58,百达转债,113570,2020/4/8,百达精工,603331,机械装备,机械装备,108.38,-0.10%,-0.50%,16.74,-0.77%,22,7.20%,115.3,16.39,2.78,102.14,6.10%,2月0天,5.64年,3.64年,13.10%,13.40%,2.8,21,1.12%,0.63%,-1.14%,-1.33%,79.07,77.38,38.68,116.05,-6.60%,38%,8%,17%,0.77,A+,7.48%,114.48 ,114.6,35.6,1.10%,28,百达转债
268,广汽转债!!,113009,2016/2/4,广汽集团,601238,汽车,乘用车,105.74,-0.25%,0.24%,9.23,-0.32%,11,0.40%,107.5,14.26,1.18,64.73,63.40%,转股中,1.51年,回售中,2.70%,1.70%,25,945,1.11%,0.16%,回售中,回售中,100.25,102.38,0.05,102.42,3.20%,37%,37%,15%,0.01,AAA,3.31%,169.14 ,146.8,44.4,-1.90%,14,广汽转债!!
264,洪涛转债!,128013,2016/8/23,洪涛股份,2325,建筑,装饰工程,109.09,0.07%,-0.42%,3.21,-0.62%,32,2.40%,111.3,3.12,1.32,102.88,6.00%,转股中,2年10天,10天,29.90%,30.80%,12,40,1.02%,-0.02%,-37.90%,-39.60%,100.79,100.45,13.65,114.1,-4.40%,34%,8%,16%,0.56,AA-,5.31%,115.09 ,115.3,14.5,-0.20%,89,洪涛转债!
105,鹰19转债,110063,2020/1/3,山鹰纸业,600567,造纸包装,包装用纸,110.13,-0.42%,-0.25%,3.1,-1.27%,13,0.60%,116.2,3.3,1.04,93.94,17.20%,转股中,5.40年,3.40年,13.10%,12.30%,19,142,1.02%,0.48%,-1.73%,-1.92%,89.27,93.04,19.05,112.09,-1.80%,31%,15%,17%,0.53,AA+,4.28%,127.33 ,126.3,33.3,0.50%,44,鹰19转债
9,中矿转债,128111,2020/7/7,中矿资源,002738,有色金属,有色行业,117.601,-1.34%,-1.04%,15.84,-3.65%,37,3.90%,124.7,15.53,1.65,102,15.30%,5月1天,5.90年,3.90年,18.20%,18.50%,8,44,1.02%,0.31%,-2.87%,-3.07%,83.48,90.18,29.03,119.2,-1.30%,44%,14%,16%,0.65,AA-,5.78%,132.90 ,133.2,43,-5.60%,3,中矿转债
151,亚泰转债!,128066,2019/5/14,郑中设计,002811,建筑,装饰工程,112.292,0.36%,1.45%,10.32,2.58%,23,4.30%,117.5,9.67,1.24,106.72,5.20%,转股中,4.75年,2.75年,17.20%,18.40%,4.8,28,0.98%,0.32%,-2.68%,-2.93%,89,91.65,28.98,120.63,-6.90%,49%,9%,16%,0.7,AA-,5.50%,117.49 ,117.9,26.2,0.60%,62,亚泰转债!
10,思特转债,123054,2020/7/6,思特奇,300608,通信互联,通信设备,115.5,0.34%,0.27%,17.65,0.86%,18,5.90%,121.7,16.49,3.66,107.03,7.90%,5月0天,5.89年,3.89年,9.70%,10.40%,2.7,28,0.91%,0.28%,-2.43%,-2.64%,83.49,88.03,34.9,122.94,-6.00%,57%,10%,17%,0.71,AA-,5.78%,123.40 ,124,35.9,2.30%,5,思特转债
73,星帅转债,128094,2020/2/19,星帅尔,002860,家电,零部件制,116.22,-1.51%,1.36%,15.78,-0.19%,25,7.50%,121.5,13.95,2.08,113.12,2.70%,3.2天,5.50年,3.50年,8.90%,10.10%,2.8,31,0.83%,0.16%,-2.87%,-3.10%,80.58,82.52,44.63,127.14,-8.60%,63%,<2%,17%,0.8,A+,7.48%,118.92 ,119.3,36.8,-2.70%,31,星帅转债
18,今天转债,123051,2020/6/30,今天国际,300532,计算机及,软件开发,117.351,1.17%,-0.20%,10.13,1.20%,21,6.30%,122.8,8.8,3.71,115.11,1.90%,4月24天,5.88年,3.88年,10.10%,11.60%,2.8,28,0.79%,0.13%,-2.81%,-3.02%,78.5,81.16,48.79,129.95,-9.70%,58%,<2%,18%,0.81,A+,7.48%,119.25 ,119.6,38.4,6.10%,7,今天转债
63,君禾转债,113567,2020/4/3,君禾股份,603617,机械装备,通用设备,114.32,0.11%,-0.30%,12.86,-0.23%,25,10.30%,119.3,11.46,3.01,112.22,1.90%,53天,5.63年,3.63年,8.20%,9.20%,2.1,26,0.78%,0.18%,-2.38%,-2.59%,79.75,80.28,46.11,126.39,-9.50%,56%,<2%,18%,0.8,A+,7.48%,116.22 ,116.4,36.1,14.40%,31,君禾转债
262,骆驼转债!,113012,2017/7/18,骆驼股份,601311,汽车,零部件制,105.79,0.78%,-0.64%,7.39,1.37%,0.7,0.10%,107.8,10.06,0.98,73.46,44.00%,转股中,2.68年,0.68年,6.20%,4.50%,5.1,83,0.71%,0.16%,-4.73%,-5.07%,97.99,96.43,2.95,99.39,6.40%,39%,33%,16%,0.1,AA,4.31%,149.79 ,138.1,40.1,-18.40%,17,骆驼转债!
191,光华转债!,128051,2019/1/9,光华科技,002741,电子,元器件制,112.03,0.47%,-0.76%,12.21,-0.49%,6.3,2.20%,115.5,12.72,3.89,95.99,16.70%,转股中,4.41年,2.41年,5.50%,5.30%,2.5,46,0.71%,0.08%,-2.94%,-3.22%,90.62,91.73,21.28,113.01,-0.90%,42%,16%,17%,0.58,AA-,5.50%,128.73 ,128.1,36.3,-0.70%,24,光华转债!
235,道氏转债!!,123007,2018/1/26,道氏技术,300409,建筑,建筑行业,108.99,0.17%,-0.17%,12.16,0.00%,2.4,0.70%,111.3,14.95,2.32,81.34,34.00%,转股中,3.44年,1.44年,5.40%,4.40%,3,56,0.62%,0.01%,-3.57%,-3.90%,94.41,92.92,8.67,101.59,7.30%,63%,30%,16%,0.33,AA-,5.50%,142.99 ,136.6,42.2,0.20%,15,道氏转债!!
139,荣晟转债!,113541,2019/8/13,荣晟环保,603165,造纸包装,包装用纸,112.1,0.40%,0.30%,12.44,0.97%,7.6,2.10%,115.5,11.54,1.52,107.8,4.00%,转股中,5年4.2天,3年4.2天,10.70%,11.50%,3.3,31,0.61%,0.05%,-2.36%,-2.60%,87.22,87.75,34.03,121.78,-7.90%,51%,<2%,18%,0.72,AA-,5.78%,116.10 ,116.4,28.7,3.40%,51,荣晟转债!
166,招路转债!,127012,2019/4/30,招商公路,001965,机场高速,高速,105.579,1.08%,-1.34%,7.13,-0.83%,116,2.20%,108.2,9.09,0.92,78.44,34.60%,转股中,4.67年,2.67年,11.40%,8.90%,50,441,0.53%,0.20%,-1.23%,-1.36%,92.5,92.3,6.91,99.21,6.40%,31%,24%,15%,0.31,AAA,3.50%,140.18 ,132.7,40.2,-0.60%,37,招路转债!
61,正元转债,123043,2020/3/31,正元智慧,300645,计算机及,软件开发,118,0.00%,0.00%,17.38,0.00%,0,0.00%,121.4,15.41,3.68,112.78,4.60%,54天,5.63年,3.63年,7.90%,9.00%,1.8,22,0.52%,-0.14%,-3.17%,-3.39%,79.8,81.67,45.12,126.78,-6.90%,67%,<2%,17%,0.81,A+,7.48%,122.60 ,123.2,41.6,7.40%,18,正元转债
138,好客转债,113542,2019/8/23,好莱客,603898,其他,家居用品,112.44,0.33%,2.78%,15.75,5.35%,2.4,0.30%,115.3,16.27,2.06,96.8,16.20%,转股中,5年13天,3年13天,12.90%,12.50%,6.3,49,0.51%,-0.04%,-2.49%,-2.71%,89.55,91.61,21.7,113.31,-0.80%,33%,21%,17%,0.58,AA,4.78%,128.64 ,128.1,36.5,6.60%,22,好客转债
89,东风转债,113030,2020/1/20,东风股份,601515,造纸包装,包装材料,114.24,-0.16%,0.16%,6.74,0.00%,5.9,1.70%,117.3,6.75,2.15,99.85,14.40%,转股中,5.43年,3.43年,3.30%,3.30%,3,90,0.50%,-0.07%,-2.65%,-2.85%,87.9,91.48,23.71,115.19,-0.80%,41%,17%,16%,0.62,AA,4.78%,128.64 ,128.6,37.1,2.00%,17,东风转债
133,九洲转债,123030,2019/9/12,九洲集团,300040,能源电力,电力设备,117.595,-0.60%,-1.37%,6.49,-2.70%,43,11.80%,120.5,5.7,1.14,113.86,3.30%,转股中,5年32天,3年32天,13.80%,15.70%,3.1,22,0.49%,-0.20%,-3.75%,-3.97%,86.84,91.12,36.84,127.97,-8.10%,43%,<2%,18%,0.73,AA-,5.78%,120.90 ,121.3,30.2,-0.40%,33,九洲转债
177,博彦转债,128057,2019/4/2,博彦科技,2649,计算机及,软件开发,114.798,1.04%,-1.92%,9.11,-1.30%,31,5.00%,117.1,8.72,1.79,104.47,9.90%,转股中,4.63年,2.63年,11.20%,11.70%,5.4,48,0.44%,-0.21%,-3.64%,-3.88%,89.35,91.88,26.7,118.58,-3.20%,44%,10%,16%,0.67,AA-,5.50%,124.70 ,125.1,33.2,-5.00%,30,博彦转债
176,拓邦转债,128058,2019/4/8,拓邦股份,2139,电子,电子产品,120.6,1.77%,-0.82%,5.93,1.54%,9.9,1.40%,122.6,5.47,2.45,108.41,11.20%,转股中,4.63年,2.63年,9.40%,10.20%,5.7,61,0.36%,-0.46%,-5.04%,-5.32%,92.53,100.48,24.18,124.66,-3.30%,48%,11%,16%,0.62,AA,4.50%,131.80 ,132.8,32.3,1.60%,22,拓邦转债
154,创维转债!,127013,2019/5/16,创维数字,810,电子,电子产品,116,-0.14%,-1.35%,11.63,-2.51%,37,3.30%,117.9,11.39,3.29,102.11,13.60%,转股中,4.74年,2.74年,7.90%,8.10%,9.8,124,0.35%,-0.31%,-3.91%,-4.12%,91.09,96.07,21.46,117.53,-1.30%,51%,14%,16%,0.59,AA,4.50%,129.60 ,129.9,33.8,-5.40%,24,创维转债!
219,湖广转债!,127007,2018/8/1,湖北广电,665,传媒娱乐,影视娱乐,111,-0.81%,-0.32%,5.34,-2.20%,6.7,0.50%,112.3,5.58,0.8,95.7,16.00%,转股中,3.94年,1.94年,23.20%,22.20%,12,52,0.30%,-0.27%,-3.59%,-3.84%,94.69,96.47,15.64,112.11,-1.00%,45%,17%,17%,0.51,AA+,4.00%,127.00 ,126.3,29.8,-3.90%,17,湖广转债!
66,翔港转债,113566,2020/3/31,翔港科技,603499,造纸包装,包装材料,122.45,-0.71%,-1.83%,14.28,-2.92%,226,92.20%,124.5,10.77,3.79,132.59,-7.60%,50天,5.61年,3.61年,7.10%,9.40%,2,28,0.30%,-0.43%,-4.11%,-4.33%,79.98,83.84,60.91,144.75,-15.40%,65%,<2%,18%,0.87,A+,7.48%,114.85 ,112.3,28.5,-9.00%,24,翔港转债
246,特一转债!,128025,2017/12/28,特一药业,2728,医药,化学制药,108.799,1.13%,-0.80%,14.52,0.55%,6.1,1.90%,109.8,14.7,2.55,98.78,10.10%,转股中,3.38年,1.38年,10.10%,10.00%,3,30,0.28%,-0.27%,-3.77%,-4.08%,94.45,91.94,19.86,111.8,-2.70%,30%,13%,17%,0.6,AA-,5.50%,118.90 ,118.8,24.4,-0.50%,42,特一转债!
106,新北转债!,128083,2019/12/31,新北洋,2376,电子,电子产品,114,0.26%,-0.31%,10.67,-0.09%,2.7,0.30%,115.2,11.7,2.08,91.2,25.00%,转股中,5.40年,3.40年,12.30%,11.30%,8.8,71,0.20%,-0.31%,-2.64%,-2.84%,87.94,89.97,19.41,109.38,4.20%,41%,24%,17%,0.54,AA,4.78%,139.00 ,136.8,46.8,-0.50%,18,新北转债!
193,福能转债!,110048,2018/12/28,福能股份,600483,能源电力,电力供应,113.31,1.17%,-0.47%,8,1.27%,68,2.10%,113.9,8.12,1.01,98.52,15.00%,转股中,4.39年,2.39年,20.10%,19.80%,28,141,0.12%,-0.45%,-3.56%,-3.80%,93.65,96.24,17.78,114.02,-0.60%,29%,15%,16%,0.55,AA+,4.00%,128.31 ,128.1,31.9,5.10%,9,福能转债!
67,天目转债,113564,2020/3/16,天目湖,603136,旅游餐饮,旅游,125.93,2.19%,1.08%,30.27,4.02%,679,183%,126.7,23.8,4,127.18,-1.00%,50天,5.61年,3.61年,8.50%,10.90%,3,35,0.11%,-0.67%,-4.84%,-5.05%,84.82,93.08,46.54,139.61,-9.80%,52%,<2%,16%,0.81,AA-,5.78%,124.93 ,124.7,31.6,17.10%,13,天目转债
27,交科转债,128107,2020/5/22,浙江交科,2061,建筑,建筑工程,114.695,-0.47%,0.01%,5.53,-0.72%,47,1.60%,115.3,5.36,0.98,103.17,11.20%,3月11天,5.76年,3.76年,32.90%,33.90%,25,76,0.09%,-0.38%,-2.53%,-2.71%,88.19,90.99,27.09,118.08,-2.90%,41%,14%,17%,0.65,AA+,4.28%,125.90 ,126.2,35.2,1.70%,14,交科转债
227,敖东转债!,127006,2018/5/11,吉林敖东,623,金融,证券行业,108.1,-0.81%,0.09%,16.48,-2.37%,22,0.80%,108,20.42,0.87,80.71,33.90%,转股中,3.65年,1.65年,12.60%,10.10%,24,192,-0.03%,-0.44%,-3.34%,-3.51%,94.71,93.76,7.02,100.78,7.30%,28%,28%,16%,0.3,AA+,4.00%,142.00 ,135.5,40.8,-3.20%,27,敖东转债!
32,维尔转债,123049,2020/5/12,维尔利,300190,城市公用,三废处理,125,0.92%,0.13%,9.01,1.35%,28,2.50%,124.8,7.48,1.79,120.45,3.80%,3月2天,5.73年,3.73年,13.00%,15.60%,9.2,71,-0.03%,-0.75%,-4.48%,-4.70%,84.33,91.09,43.33,134.42,-7.00%,53%,<2%,17%,0.78,AA-,5.78%,128.80 ,129.5,38.5,8.90%,10,维尔转债
189,台华转债!,113525,2019/1/11,台华新材,603055,服装纺织,纺织行业,115.43,2.92%,0.12%,9.19,4.20%,46,7.60%,114.9,8.03,2.71,114.45,0.90%,转股中,4.41年,2.41年,7.50%,8.60%,5.3,70,-0.11%,-0.71%,-4.22%,-4.45%,92.41,94.99,31.4,126.39,-8.70%,47%,<2%,17%,0.72,AA,4.50%,116.33 ,116.4,21.4,13.10%,24,台华转债!
50,联创转债!,128101,2020/4/13,联创电子,2036,电子,液晶显示,115.811,1.32%,-1.47%,12.3,-0.32%,14,4.10%,115.1,14.48,3.78,84.94,36.30%,2月4天,5.66年,3.66年,2.60%,2.20%,3,114,-0.11%,-0.59%,-2.89%,-3.07%,86.79,88.8,16.3,105.1,10.20%,56%,30%,17%,0.47,AA,4.78%,152.11 ,146.7,57.9,-4.30%,15,联创转债!
