序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,纯债溢价率,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
64,龙净转债!,110068,2020/4/15,龙净环保,600388,城市公用,三废处理,108.97,1.18%,1.21%,9.56,4.82%,16,0.70%,115,10.73,1.86,89.1,22.30%,45天,5.60年,3.60年,19.60%,17.40%,20,102,0.98%,0.50%,-1.37%,-1.54%,88.45,91.25,19.42%,0.49,AA+,4.29%,131.27 ,128.8,37.6,3.60%,28,龙净转债!
12,道恩转债,128117,2020/7/20,道恩股份,002838,化工,橡胶塑料,116.73,-0.29%,0.25%,29.63,-0.07%,13,3.10%,123.5,29.32,10.43,101.06,15.50%,4月25天,5.88年,3.88年,3.00%,3.00%,3.6,121,0.98%,0.30%,-2.88%,-3.05%,82.87,89.25,30.79%,0.64,AA-,5.79%,132.23 ,132.4,43.2,-8.10%,6,道恩转债
179,海环转债!,113532,2019/4/24,海峡环保,603817,城市公用,三废处理,108.04,0.03%,0.32%,6.73,0.75%,4,0.80%,112.9,7.69,1.81,87.52,23.50%,转股中,4.63年,2.63年,15.20%,13.30%,4.6,30,0.97%,0.46%,-1.57%,-1.80%,91.25,91.99,17.45%,0.47,AA,4.62%,131.54 ,128.6,36.6,0.80%,27,海环转债!
28,思特转债,123054,2020/7/6,思特奇,300608,通信互联,通信设备,115.328,0.46%,0.71%,17.01,1.73%,5.9,1.90%,121.7,16.49,3.53,103.15,11.80%,4月2天,5.82年,3.82年,10.10%,10.40%,2.7,27,0.95%,0.31%,-2.44%,-2.66%,83.82,88.37,30.51%,0.68,AA-,5.79%,127.13 ,127.5,39.1,-1.60%,7,思特转债
84,翔港转债,113566,2020/3/31,翔港科技,603499,造纸包装,包装材料,118.76,-0.37%,0.37%,12.39,0.00%,23,9.70%,124.5,10.77,3.29,115.04,3.20%,22天,5.54年,3.54年,8.10%,9.40%,2,25,0.88%,0.13%,-3.39%,-3.62%,80.4,84.26,40.94%,0.79,A+,7.49%,121.96 ,122.5,38.2,-0.40%,25,翔港转债
159,华森转债!,128069,2019/7/11,华森制药,002907,医药,化学制药,115.322,0.64%,0.49%,18.53,1.76%,5.5,1.60%,120,18.04,7.31,102.72,12.30%,转股中,4.86年,2.86年,4.00%,4.10%,3,74,0.84%,0.12%,-3.55%,-3.76%,87.88,92.49,24.69%,0.64,AA-,5.62%,127.62 ,127.9,35.4,-1.00%,42,华森转债!
196,贵广转债!,110052,2019/3/29,贵广网络,600996,传媒娱乐,影视娱乐,114.52,0.88%,0.02%,7.94,1.66%,17,1.00%,118.5,7.94,1.87,100,14.50%,转股中,4.55年,2.55年,18.30%,18.30%,15,84,0.77%,0.05%,-3.58%,-3.84%,93.16,99.01,15.67%,0.54,AA+,4.12%,129.02 ,129,30,6.20%,16,贵广转债!
4,银信转债,123059,2020/8/12,银信科技,300231,计算机及,软件开发,118.8,2.48%,1.34%,10.6,5.58%,467,102%,124.1,9.91,3.7,106.96,11.10%,5月8天,5.91年,3.91年,8.40%,8.90%,3.9,47,0.75%,0.07%,-3.23%,-3.41%,82.86,89.54,32.68%,0.69,AA-,5.79%,129.90 ,130.6,41.1,10.70%,3,银信转债
158,智能转债!,128070,2019/7/23,智能自控,002877,机械装备,通用设备,113.6,-5.18%,5.11%,7.93,-0.13%,225,82.80%,117.6,9.51,3.73,83.39,36.20%,转股中,4.88年,无权,8.70%,7.30%,2.3,26,0.73%,0.09%,无权,无权,无权,83.97,35.29%,0.52,A+,7.32%,149.80 ,143.8,59.8,1.00%,34,智能转债!
62,华体转债,113574,2020/4/27,华体科技,603679,城市公用,城市公用,112,0.45%,1.96%,28.66,4.03%,7.1,3.00%,116.4,33.99,4.1,84.32,32.80%,52天,5.62年,3.62年,5.10%,4.30%,2.1,41,0.70%,0.18%,-1.82%,-2.04%,79.8,78.33,42.98%,0.6,A+,7.49%,144.80 ,139.7,59.9,0.80%,9,华体转债
110,永创转债!,113559,2020/1/10,永创智能,603901,机械装备,专用设备,114.72,2.08%,0.53%,10.27,4.05%,39,6.70%,118.9,10.32,3.4,99.52,15.30%,转股中,5.35年,3.35年,11.30%,11.20%,5.1,45,0.69%,0.07%,-2.52%,-2.78%,86.38,88.69,29.35%,0.65,AA-,5.79%,130.02 ,129.9,41.2,7.20%,24,永创转债!
33,飞鹿转债,123052,2020/7/3,飞鹿股份,300665,化工,化工,122.4,2.00%,0.47%,11.51,3.14%,45,20.80%,127.3,9.9,3.15,116.26,5.30%,3月27天,5.80年,3.80年,12.60%,14.70%,1.8,14,0.69%,-0.08%,-3.78%,-4.02%,79.29,84.58,44.72%,0.79,A+,7.49%,127.70 ,128.5,44,5.90%,8,飞鹿转债
126,华锋转债!,128082,2020/1/6,华锋股份,002806,电子,元器件制,118,-2.48%,-1.98%,13.4,-5.63%,31,7.40%,122,11.71,1.84,114.43,3.10%,转股中,5.30年,3.30年,14.90%,17.10%,3.5,24,0.65%,-0.07%,-3.34%,-3.60%,82.14,84.08,40.34%,0.79,A+,7.49%,121.10 ,121.6,37.5,6.30%,54,华锋转债!
123,鹰19转债,110063,2020/1/3,山鹰纸业,600567,造纸包装,包装用纸,112.55,0.13%,0.21%,3.17,0.63%,11,0.50%,116.2,3.3,1.06,96.06,17.20%,转股中,5.33年,3.33年,12.80%,12.30%,19,146,0.61%,0.07%,-2.38%,-2.57%,89.53,93.29,20.65%,0.55,AA+,4.29%,129.75 ,129,35.7,-0.80%,42,鹰19转债
91,星帅转债,128094,2020/2/19,星帅尔,002860,家电,零部件制,117.851,0.30%,-0.50%,15.16,-0.26%,1.9,0.60%,121.5,13.95,2,108.67,8.40%,转股中,5.42年,3.42年,9.30%,10.10%,2.8,30,0.58%,-0.10%,-3.32%,-3.55%,81.01,82.93,42.11%,0.78,A+,7.49%,126.25 ,127,44.1,0.40%,31,星帅转债
76,百达转债,113570,2020/4/8,百达精工,603331,机械装备,机械装备,111.79,0.34%,0.72%,11.74,1.38%,3.7,1.20%,115.3,11.54,1.92,101.73,9.90%,32天,5.57年,3.57年,13.30%,13.60%,2.8,21,0.57%,0.07%,-1.98%,-2.17%,79.48,77.77,43.74%,0.77,A+,7.49%,121.69 ,121.8,42.4,-3.00%,29,百达转债
79,正元转债,123043,2020/3/31,正元智慧,300645,计算机及,软件开发,117.78,-0.86%,1.28%,15.42,0.59%,17,8.20%,121.4,15.41,3.27,100.06,17.70%,26天,5.55年,3.55年,9.00%,9.00%,1.8,20,0.56%,-0.10%,-3.19%,-3.41%,80.21,82.08,43.49%,0.72,A+,7.49%,135.48 ,135.5,53.4,-4.00%,16,正元转债
176,核建转债!,113024,2019/4/26,中国核建,601611,建筑,建筑工程,107.15,-3.16%,-1.18%,8.57,-9.69%,87,2.70%,109.7,9.76,2.22,87.81,22.00%,转股中,4.64年,2.64年,13.20%,11.60%,30,227,0.52%,0.12%,-1.34%,-1.56%,93.46,93.29,14.86%,0.45,AAA,3.62%,129.15 ,126.5,33,16.20%,43,核建转债!
27,中矿转债,128111,2020/7/7,中矿资源,002738,有色金属,有色行业,121.298,1.81%,-0.58%,16.57,1.78%,13,1.40%,124.7,15.53,1.72,106.7,13.70%,4月3天,5.82年,3.82年,17.40%,18.50%,8,46,0.49%,-0.22%,-3.68%,-3.89%,83.81,90.52,34.00%,0.69,AA-,5.79%,135.00 ,135.9,45.4,-1.50%,5,中矿转债
11,瀛通转债,128118,2020/8/5,瀛通通讯,002861,电子,电子产品,118.821,0.53%,0.37%,27.27,1.41%,8.7,2.40%,122.1,27.53,3.16,99.06,20.00%,4月25天,5.88年,3.88年,9.00%,8.90%,3,33,0.47%,-0.17%,-3.13%,-3.34%,83.51,88.35,34.49%,0.64,AA-,5.79%,138.82 ,138.6,50.2,-1.20%,2,瀛通转债
174,明泰转债!,113025,2019/5/7,明泰铝业,601677,有色金属,铝金属,112.72,0.43%,0.37%,10.85,1.40%,3,0.10%,115.1,11.2,0.97,96.88,16.40%,转股中,4.65年,2.65年,27.50%,26.70%,18,67,0.46%,-0.12%,-3.03%,-3.26%,91.19,93.69,20.31%,0.57,AA,4.62%,129.12 ,128.6,34.9,1.70%,31,明泰转债!
164,文灿转债!,113537,2019/7/5,文灿股份,603348,汽车,零部件制,119.18,-0.68%,0.49%,21.43,-0.28%,28,4.10%,121.5,19.78,2.16,108.34,10.00%,转股中,4.82年,2.82年,11.50%,12.40%,5.7,50,0.41%,-0.35%,-4.38%,-4.65%,88.87,93.95,26.85%,0.68,AA-,5.62%,129.18 ,130,36.1,7.80%,28,文灿转债!
177,司尔转债!,128064,2019/5/7,司尔特,002538,化工,农化,113.121,-0.77%,-0.41%,6.13,-1.92%,13,1.50%,114.9,6.07,1.18,100.99,12.00%,转股中,4.64年,2.64年,18.20%,18.40%,8,44,0.34%,-0.23%,-3.17%,-3.40%,91.18,93.54,20.93%,0.61,AA,4.62%,125.12 ,125.3,31.7,7.80%,55,司尔转债!
13,美联转债,123057,2020/7/27,美联新材,300586,化工,橡胶塑料,116.101,-0.77%,0.10%,9.69,-1.02%,22,9.10%,118.2,9.91,3.28,97.78,18.70%,4月24天,5.87年,3.87年,4.70%,4.60%,2.1,44,0.31%,-0.23%,-2.69%,-2.87%,83.13,85.51,35.77%,0.65,AA-,5.79%,134.80 ,134.4,48.9,2.70%,3,美联转债
280,骆驼转债!,113012,2017/7/18,骆驼股份,601311,汽车,零部件制,107.03,0.49%,-0.14%,7.62,2.70%,8.6,1.60%,107.8,10.06,1.01,75.75,41.30%,转股中,2.60年,0.60年,6.00%,4.50%,5.1,85,0.28%,-0.29%,-6.62%,-6.98%,98.2,96.37,11.06%,0.13,AA,4.47%,148.33 ,138.3,40.1,0.70%,17,骆驼转债!
145,万里转债!,123032,2019/10/31,万里马,300591,服装纺织,服装纺织,131,-10.90%,13.70%,7.88,3.82%,899,369%,132.8,6.89,5.03,114.37,14.50%,转股中,5年56天,3年56天,7.30%,8.40%,1.8,25,0.28%,-0.74%,-5.81%,-6.21%,85.41,92.93,40.97%,0.74,A+,7.49%,145.50 ,147.6,54.7,1.40%,44,万里转债!
184,招路转债!,127012,2019/4/30,招商公路,001965,机场高速,高速,106.898,0.28%,-0.28%,7.3,0.00%,9,0.20%,108.2,9.09,0.94,80.31,33.10%,转股中,4.60年,2.60年,11.10%,8.90%,50,451,0.27%,-0.07%,-1.71%,-1.84%,92.45,92.06,16.12%,0.34,AAA,3.62%,140.00 ,133.5,41,1.60%,37,招路转债!
104,开润转债!,123039,2020/1/23,开润股份,300577,服装纺织,纺织行业,119.8,0.35%,0.82%,31.84,1.73%,0.6,0.20%,121.5,33.22,7.62,95.85,25.00%,转股中,5.36年,3.36年,3.20%,3.10%,2.2,69,0.27%,-0.42%,-3.82%,-4.06%,81.34,83.28,43.85%,0.68,A+,7.49%,144.80 ,143.8,60.5,-1.30%,22,开润转债!
68,联创转债!,128101,2020/4/13,联创电子,002036,电子,液晶显示,113.65,0.22%,0.02%,11.41,0.62%,12,3.60%,115.1,14.48,3.51,78.8,44.20%,36天,5.58年,3.58年,2.80%,2.20%,3,106,0.23%,-0.25%,-2.46%,-2.64%,87.07,89.07,27.60%,0.39,AA,4.79%,157.85 ,148.5,59.4,-3.50%,14,联创转债!
207,台华转债!,113525,2019/1/11,台华新材,603055,服装纺织,纺织行业,114,-0.02%,0.02%,8.09,0.00%,4.6,0.90%,114.9,8.03,2.38,100.75,13.20%,转股中,4.34年,2.34年,7.60%,7.60%,4.7,63,0.19%,-0.43%,-3.86%,-4.11%,92.46,94.85,20.19%,0.59,AA,4.62%,127.20 ,127.3,32.4,-10.50%,23,台华转债!
185,岱勒转债!,123024,2019/4/17,岱勒新材,300700,机械装备,专用设备,112.26,-1.16%,1.71%,19.99,1.47%,13,5.30%,113,24.9,3.35,80.28,39.80%,转股中,3.59年,1.59年,12.70%,10.20%,2.1,16,0.19%,-0.47%,-5.45%,-5.63%,89.89,87.93,27.67%,0.37,A+,7.32%,152.06 ,144.2,54.3,2.60%,33,岱勒转债!
61,利群转债!,113033,2020/4/21,利群股份,601366,商业零售,商场,114.2,2.06%,2.96%,7.76,6.89%,224,11.00%,115.3,7.01,1.45,110.7,3.20%,53天,5.63年,3.63年,27.00%,29.80%,18,67,0.17%,-0.31%,-2.51%,-2.69%,87.08,89.08,28.20%,0.73,AA,4.79%,117.40 ,117.7,28.6,20.40%,31,利群转债!
15,瑞达转债,128116,2020/7/24,瑞达期货,002961,金融,期货行业,114.24,0.25%,0.46%,30.35,1.07%,9.1,1.20%,115.3,29.82,7.8,101.78,12.20%,4月21天,5.87年,3.87年,4.80%,4.90%,6.5,135,0.16%,-0.30%,-2.39%,-2.56%,86.01,88.06,29.73%,0.66,AA,4.79%,126.44 ,126.7,38.6,-1.30%,5,瑞达转债
5,国城转债,127019,2020/8/10,国城矿业,000688,有色金属,锌铅镍锡,114.179,0.26%,-0.26%,22.9,0.00%,51,5.20%,115.1,21.07,12.05,108.69,5.10%,5月8天,5.91年,3.91年,3.30%,3.50%,8.5,260,0.14%,-0.32%,-2.37%,-2.54%,85.73,87.7,30.19%,0.72,AA,4.79%,119.28 ,119.7,32,-1.20%,4,国城转债
36,今天转债,123051,2020/6/30,今天国际,300532,计算机及,软件开发,121.984,0.81%,0.06%,10.62,1.05%,5.3,1.60%,122.8,8.8,3.89,120.68,1.10%,3月26天,5.80年,3.80年,9.70%,11.60%,2.8,29,0.12%,-0.55%,-3.82%,-4.03%,78.91,81.57,49.55%,0.84,A+,7.49%,123.08 ,123.3,41.7,-1.20%,9,今天转债
1,N中金转,127020,2020/8/14,中金岭南,000060,有色金属,有色行业,113.2,13.20%,0.00%,4.54,1.79%,3968,94.40%,113.7,4.71,1.48,96.39,17.40%,5月12天,5.93年,3.93年,23.40%,22.60%,38,162,0.08%,-0.34%,-2.42%,-2.53%,86.34,88.91,27.32%,0.58,AA+,4.29%,130.60 ,130,41.1,-2.00%,7,N中金转
8,湖盐转债,110071,2020/7/31,湖南盐业,600929,食品饮料,食品饮料,114.94,0.30%,0.52%,6.9,1.17%,5.7,0.70%,115.2,6.6,2.51,104.55,9.90%,5月5天,5.90年,3.90年,11.40%,11.90%,7.2,63,0.04%,-0.42%,-2.52%,-2.69%,85.87,87.85,30.84%,0.7,AA,4.79%,124.84 ,125.3,37.5,-1.20%,5,湖盐转债
2,沪工转债,113593,2020/8/10,上海沪工,603131,机械装备,通用设备,121.47,2.31%,2.33%,23.65,5.77%,149,31.00%,121.6,21.32,6.21,110.93,9.50%,5月12天,5.93年,3.93年,5.30%,5.90%,4,75,0.02%,-0.60%,-3.62%,-3.82%,78.06,79.99,51.86%,0.8,A+,7.49%,130.97 ,132,52,10.10%,3,沪工转债
130,白电转债,113549,2019/12/11,白云电器,603861,能源电力,电力设备,115.13,0.93%,-0.28%,8.9,1.02%,3.7,0.40%,115.1,8.88,1.7,100.23,14.90%,转股中,5.25年,3.25年,21.90%,21.90%,8.8,40,-0.01%,-0.52%,-3.07%,-3.26%,88.44,90.46,27.27%,0.64,AA,4.79%,130.03 ,130,39.6,2.60%,34,白电转债
124,新北转债!,128083,2019/12/31,新北洋,002376,电子,电子产品,115.399,0.70%,-0.29%,10.93,0.74%,1.8,0.20%,115.2,11.7,2.13,93.42,23.50%,转股中,5.32年,3.32年,12.10%,11.30%,8.8,73,-0.03%,-0.54%,-3.05%,-3.24%,88.23,90.25,27.87%,0.56,AA,4.79%,138.90 ,137.4,47.1,2.50%,17,新北转债!
236,博世转债!,123010,2018/8/14,博世科,300422,城市公用,三废处理,112.52,0.46%,0.15%,11.95,1.01%,2.3,0.50%,112.3,12.2,2.47,97.95,14.90%,转股中,3.89年,1.89年,8.90%,8.70%,4.3,48,-0.05%,-0.63%,-4.34%,-4.59%,91.96,91.16,23.43%,0.61,AA-,5.62%,127.42 ,127.1,35.1,-2.30%,23,博世转债!
138,北方转债,127014,2019/11/21,北方国际,000065,建筑,建筑工程,115.867,-1.32%,1.45%,8.35,0.24%,4.3,0.60%,115.6,8.75,1.32,95.43,21.40%,转股中,5.19年,3.19年,9.00%,8.60%,5.8,64,-0.05%,-0.58%,-3.18%,-3.40%,90.59,93.44,24.00%,0.54,AA+,4.29%,137.27 ,136.3,42.9,1.40%,18,北方转债
134,金力转债!,123033,2019/11/25,金力永磁,300748,电子,元器件制,122.231,2.28%,0.60%,45.2,3.98%,916,174%,121.9,41.09,14.73,110,11.10%,转股中,5.21年,3.21年,2.30%,2.60%,4.4,187,-0.05%,-0.77%,-4.35%,-4.64%,87.42,91.69,33.31%,0.72,AA-,5.79%,133.33 ,134.5,42.8,12.40%,26,金力转债!
92,银河转债!,123042,2020/2/14,金银河,300619,机械装备,专用设备,116.3,-0.50%,1.60%,21.74,1.73%,61,31.00%,115.9,24.4,3.42,89.1,30.50%,转股中,5.41年,3.41年,10.30%,9.20%,1.7,16,-0.07%,-0.59%,-3.05%,-3.27%,80.77,79.14,46.95%,0.63,A+,7.49%,146.80 ,143.5,62.7,-1.10%,25,银河转债!
10,宁建转债,113036,2020/8/6,宁波建工,601789,建筑,建筑工程,117.85,0.99%,-0.72%,5.05,0.40%,10,1.60%,117.3,4.86,1.67,103.91,13.40%,4月28天,5.89年,3.89年,11.00%,11.40%,5.4,49,-0.08%,-0.59%,-3.11%,-3.28%,86.01,89.51,31.66%,0.68,AA,4.79%,131.25 ,131.8,42.3,-2.50%,3,宁建转债
263,众兴转债!,128026,2018/1/3,众兴菌业,002772,农业,种植业,110.727,-0.25%,-0.14%,10.07,-0.89%,8.1,0.80%,110.3,11.45,1.55,87.95,25.90%,转股中,3.33年,1.33年,24.80%,21.80%,9.2,37,-0.12%,-0.69%,-4.90%,-5.24%,94.81,92.33,19.93%,0.44,AA-,5.62%,136.63 ,133.5,38.7,-2.20%,59,众兴转债!
170,永鼎转债!,110058,2019/5/8,永鼎股份,600105,通信互联,通信设备,115.51,1.04%,-0.27%,5.69,1.07%,14,1.20%,114.9,5.04,2.91,112.9,2.30%,转股中,4.67年,2.67年,13.90%,15.70%,9.8,70,-0.12%,-0.68%,-3.87%,-4.09%,91.09,93.45,23.61%,0.72,AA,4.62%,117.81 ,118.1,24.7,4.70%,57,永鼎转债!
154,合兴转债!,128071,2019/9/16,合兴包装,002228,造纸包装,包装材料,115.8,0.71%,0.02%,4.5,1.12%,5.2,0.80%,115.1,4.28,1.76,105.14,10.10%,转股中,5年0.1天,3年0.1天,11.30%,11.90%,6,53,-0.12%,-0.66%,-3.49%,-3.70%,89.48,91.53,26.52%,0.65,AA,4.79%,125.90 ,126.5,34.9,-3.30%,28,合兴转债!
172,创维转债!,127013,2019/5/16,创维数字,000810,电子,电子产品,118.6,0.08%,-0.03%,11.61,0.09%,16,1.40%,117.9,11.39,3.28,101.93,16.40%,转股中,4.66年,2.66年,7.90%,8.10%,9.8,123,-0.13%,-0.80%,-4.77%,-4.99%,91.11,95.89,23.68%,0.59,AA,4.62%,135.00 ,135.3,39.4,-6.10%,23,创维转债!
169,亚泰转债!,128066,2019/5/14,郑中设计,002811,建筑,装饰工程,118.5,-0.25%,-1.04%,11.15,-1.68%,5.7,1.00%,117.5,9.67,1.34,115.31,2.80%,转股中,4.67年,2.67年,15.90%,18.40%,4.8,30,-0.19%,-0.84%,-4.60%,-4.84%,89.09,91.55,29.44%,0.77,AA-,5.62%,121.30 ,121.7,30.1,3.50%,60,亚泰转债!
107,东风转债,113030,2020/1/20,东风股份,601515,造纸包装,包装材料,118.87,-0.73%,-1.21%,7.21,-2.83%,15,4.30%,117.3,6.75,2.3,106.81,11.30%,转股中,5.36年,3.36年,3.10%,3.30%,3,96,-0.25%,-0.82%,-3.81%,-4.01%,88.19,91.76,29.54%,0.68,AA,4.79%,130.17 ,130.9,39.2,2.90%,15,东风转债
245,敖东转债!,127006,2018/5/11,吉林敖东,000623,金融,证券行业,109.12,0.11%,0.30%,17.11,1.18%,6.9,0.30%,108,20.42,0.91,83.79,30.20%,转股中,3.57年,1.57年,12.10%,10.10%,24,199,-0.29%,-0.71%,-4.00%,-4.18%,94.8,93.66,16.51%,0.35,AA+,4.12%,139.32 ,134.4,39.6,-0.70%,27,敖东转债!
50,维尔转债,123049,2020/5/12,维尔利,300190,城市公用,三废处理,127.05,-0.34%,0.26%,9.11,-0.11%,19,1.60%,124.8,7.48,1.81,121.79,4.30%,2月4天,5.66年,3.66年,12.80%,15.60%,9.2,71,-0.32%,-1.05%,-4.98%,-5.20%,84.66,91.44,38.94%,0.79,AA-,5.79%,131.35 ,132.3,40.9,4.10%,10,维尔转债
237,湖广转债!,127007,2018/8/1,湖北广电,000665,传媒娱乐,影视娱乐,113.7,-0.07%,0.07%,5.56,0.00%,7.8,0.60%,112.3,5.58,0.84,99.64,14.10%,转股中,3.87年,1.87年,22.30%,22.20%,12,55,-0.33%,-0.90%,-4.87%,-5.12%,94.75,96.34,18.02%,0.56,AA+,4.12%,127.80 ,127.8,31.4,1.60%,17,湖广转债!
194,拓邦转债,128058,2019/4/8,拓邦股份,002139,电子,电子产品,124.4,-1.03%,0.16%,6.4,-1.23%,15,2.10%,122.6,5.47,2.65,117,6.30%,转股中,4.56年,2.56年,8.70%,10.20%,5.7,66,-0.33%,-1.16%,-6.26%,-6.55%,92.56,100.31,24.02%,0.7,AA,4.62%,130.70 ,131.8,31.5,6.20%,22,拓邦转债
209,光华转债!,128051,2019/1/9,光华科技,002741,电子,元器件制,118.25,0.38%,-0.02%,14.03,0.50%,14,4.60%,115.5,12.72,4.47,110.3,7.20%,转股中,4.33年,2.33年,4.80%,5.30%,2.5,53,-0.55%,-1.19%,-5.13%,-5.40%,90.74,91.67,29.00%,0.73,AA-,5.62%,125.45 ,126.2,34.5,2.90%,23,光华转债!
150,哈尔转债!,128073,2019/9/11,哈尔斯,002615,其他,家居用品,118.29,-2.24%,3.20%,5.7,1.60%,1050,290%,115.7,5.72,2.88,99.65,18.70%,转股中,4年6.1天,2年6.1天,12.80%,12.80%,3,23,-0.56%,-1.24%,-6.42%,-6.62%,91.02,93.23,26.88%,0.6,AA-,5.62%,136.99 ,136.9,43.7,6.50%,37,哈尔转债!
45,交科转债,128107,2020/5/22,浙江交科,002061,建筑,建筑工程,119.12,-0.53%,0.06%,5.9,-0.67%,8.1,0.30%,115.3,5.36,1.05,110.07,8.20%,2月13天,5.68年,3.68年,30.80%,33.90%,25,81,-0.58%,-1.06%,-3.54%,-3.72%,88.44,91.24,30.56%,0.7,AA+,4.29%,127.32 ,128.2,36.9,3.20%,14,交科转债
253,道氏转债!!,123007,2018/1/26,道氏技术,300409,建筑,建筑行业,113.489,0.23%,-0.83%,12.77,-1.54%,5.6,1.60%,111.3,14.95,2.43,85.42,32.90%,转股中,3.37年,1.37年,5.20%,4.40%,3,59,-0.59%,-1.20%,-6.27%,-6.60%,94.64,92.96,22.08%,0.39,AA-,5.62%,146.39 ,141.6,46.9,1.60%,15,道氏转债!!
285,广汽转债!!,113009,2016/2/4,广汽集团,601238,汽车,乘用车,108.51,-0.25%,0.24%,10.67,-0.09%,12,0.40%,107.5,14.26,1.37,74.82,45.00%,转股中,1.44年,回售中,2.30%,1.70%,25,1092,-0.66%,-1.63%,回售中,回售中,100.25,102.41,5.96%,0.04,AAA,3.47%,153.51 ,142.2,39.8,5.00%,14,广汽转债!!
157,荣晟转债!,113541,2019/8/13,荣晟环保,603165,造纸包装,包装用纸,118.97,-0.02%,1.55%,13.5,1.96%,7.5,1.90%,115,11.54,1.65,116.98,1.70%,转股中,4.93年,2.93年,9.80%,11.50%,3.3,34,-0.70%,-1.23%,-4.43%,-4.63%,87.5,88.27,34.78%,0.78,AA-,5.62%,120.67 ,121,32.7,1.60%,51,荣晟转债!
108,淮矿转债!,110065,2020/1/13,淮北矿业,600985,煤炭,煤炭开采,115.2,0.17%,0.62%,9.01,1.35%,6.9,0.20%,111,9.33,0.99,96.57,19.30%,转股中,5.35年,3.35年,14.10%,13.60%,28,196,-0.70%,-1.08%,-3.02%,-3.20%,90.9,91.29,26.19%,0.58,AAA,3.79%,134.50 ,133.8,42.5,-2.40%,23,淮矿转债!
151,九洲转债,123030,2019/9/12,九洲集团,300040,能源电力,电力设备,124.86,-0.90%,1.82%,6.92,1.17%,12,3.40%,120.5,5.65,1.21,122.48,1.90%,转股中,5年4.1天,3年4.1天,11.90%,14.60%,2.8,24,-0.72%,-1.41%,-5.66%,-5.88%,87.19,91.48,36.49%,0.78,AA-,5.79%,126.76 ,127.2,35.8,-2.40%,31,九洲转债
175,鼎胜转债!,113534,2019/4/30,鼎胜新材,603876,有色金属,小金属,119.18,0.85%,0.34%,16.25,1.75%,14,1.00%,114.9,15.18,1.91,107.05,11.30%,转股中,4.65年,2.65年,17.00%,18.20%,12,70,-0.80%,-1.36%,-4.97%,-5.18%,91.17,93.53,27.42%,0.68,AA,4.62%,130.48 ,131.3,37.8,-0.20%,33,鼎胜转债!
85,天目转债,113564,2020/3/16,天目湖,603136,旅游餐饮,旅游,132.51,-1.89%,0.75%,28.7,-1.48%,9.6,2.40%,126.7,23.8,3.8,120.59,9.90%,22天,5.54年,3.54年,9.00%,10.90%,3,33,-0.82%,-1.60%,-6.25%,-6.46%,85.16,93.43,41.83%,0.77,AA-,5.79%,142.41 ,144.4,51,-1.50%,12,天目转债
55,滨化转债,113034,2020/4/30,滨化股份,601678,化工,化工,120.73,-0.89%,-0.36%,5.21,-1.70%,15,0.50%,115.1,4.68,1.29,111.32,8.40%,2月1天,5.65年,3.65年,29.80%,33.20%,24,80,-0.86%,-1.33%,-3.96%,-4.13%,86.79,88.79,35.97%,0.73,AA,4.79%,129.13 ,130.1,41.3,2.10%,28,滨化转债
212,华源转债!,128049,2018/12/20,华源控股,002787,造纸包装,包装材料,119.5,0.38%,-0.72%,8.25,-0.48%,7.4,1.60%,115.2,7.42,1.78,111.19,7.50%,转股中,4.28年,2.28年,15.60%,17.30%,4,26,-0.87%,-1.49%,-5.75%,-6.00%,90.7,91.64,30.40%,0.72,AA-,5.62%,127.00 ,127.8,36.2,6.60%,56,华源转债!
102,汽模转2,128090,2020/1/23,天汽模,002510,汽车,零部件制,120.63,-0.31%,0.15%,4.8,-0.21%,43,7.60%,115.2,4.21,1.66,114.01,5.80%,转股中,5.36年,3.36年,10.70%,12.20%,4.7,44,-0.87%,-1.37%,-4.23%,-4.42%,88.06,90.07,33.93%,0.74,AA,4.79%,126.43 ,127.2,37.2,2.80%,27,汽模转2
193,中鼎转2!,127011,2019/4/4,中鼎股份,000887,汽车,零部件制,119.819,3.29%,-0.90%,11.32,4.43%,621,42.60%,115.2,11.59,1.58,97.67,22.70%,转股中,4.56年,2.56年,8.70%,8.50%,12,138,-0.88%,-1.46%,-5.27%,-5.50%,92.85,96.2,24.55%,0.54,AA+,4.12%,142.52 ,142,45.8,13.40%,29,中鼎转2!
257,蒙电转债!,110041,2018/1/9,内蒙华电,600863,能源电力,电力供应,113.85,0.21%,0.19%,2.66,0.76%,3.2,0.10%,110.3,2.69,1.31,98.88,15.10%,转股中,3.35年,1.35年,12.10%,12.00%,19,155,-0.96%,-1.52%,-6.56%,-6.89%,97.45,98.16,15.98%,0.54,AAA,3.62%,128.95 ,128.8,30.7,2.30%,9,蒙电转债!
