序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,纯债溢价率,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
118,鸿达转债,128085,2020/1/8,鸿达兴业,002002,化工,化工,109.9,0.36%,-0.21%,3.95,0.25%,53,2.00%,124.8,3.92,1.49,100.77,9.10%,转股中,5.33年,3.33年,23.70%,23.90%,24,102,2.46%,1.67%,-1.50%,-1.73%,88.71,97.77,12.41%,0.57,AA,4.79%,119.00 ,119,21.3,0.40%,77,鸿达转债
277,久其转债!,128015,2017/7/18,久其软件,002279,计算机及,软件开发,103.81,0.13%,-0.04%,7.17,0.56%,7.7,1.00%,110.8,9.48,6.68,75.63,37.30%,转股中,2.81年,0.81年,15.30%,11.60%,7.8,51,2.38%,1.65%,-2.23%,-2.53%,94.91,91.45,13.52%,0.16,A+,7.17%,141.11 ,132,37.1,-0.90%,58,久其转债!
137,浦发转债!,110059,2019/11/15,浦发银行,600000,金融,银行行业,104.57,0.68%,-0.49%,10.59,0.76%,171,0.30%,117.8,14.45,0.61,73.29,42.70%,转股中,5.20年,无权,16.10%,11.80%,500,3108,2.38%,1.75%,无权,无权,无权,97.59,7.15%,0.25,AAA,3.79%,147.27 ,135.9,38.3,-1.00%,78,浦发转债!
199,长城转债!,113528,2019/3/20,长城科技,603897,机械装备,专用设备,106.31,0.42%,-0.18%,20.2,0.55%,2.6,0.40%,117.6,23.75,1.95,85.05,25.00%,转股中,4.54年,2.54年,17.60%,15.00%,6.3,36,2.30%,1.60%,-0.84%,-1.12%,89.8,92.29,15.19%,0.43,AA-,5.62%,131.31 ,127.6,35.3,-0.30%,46,长城转债!
279,永东转债!,128014,2017/7/18,永东股份,002753,化工,化工,104.893,0.06%,-0.18%,8.83,-1.23%,2.9,0.80%,111.3,12.6,1.91,70.08,49.70%,转股中,2.67年,0.67年,10.20%,7.10%,3.4,33,2.28%,1.48%,-3.53%,-3.94%,97.38,96.78,8.38%,0.1,AA-,5.47%,154.59 ,139.7,42.3,5.90%,40,永东转债!
160,清水转债,123028,2019/7/15,清水源,300437,城市公用,三废处理,109.552,0.64%,0.09%,11.27,1.35%,3.1,0.60%,121.8,11.84,1.63,95.19,15.10%,转股中,4.84年,2.84年,19.90%,19.00%,4.9,25,2.27%,1.48%,-1.51%,-1.80%,89.02,94.1,16.42%,0.54,AA-,5.62%,124.65 ,123.9,29.8,3.80%,45,清水转债
78,新春转债,113568,2020/4/2,五洲新春,603667,机械装备,通用设备,110.51,0.05%,0.02%,8.83,0.11%,6,1.60%,124.8,8.91,1.48,99.1,11.50%,29天,5.55年,3.55年,12.80%,12.70%,3.3,26,2.27%,1.50%,-1.45%,-1.69%,85.16,91.97,20.16%,0.61,AA-,5.79%,122.01 ,121.9,29.9,3.40%,40,新春转债
197,中信转债!,113021,2019/3/19,中信银行,601998,金融,银行行业,107.72,0.63%,-0.36%,5.28,1.15%,30,0.10%,118.8,6.98,0.56,75.64,42.40%,转股中,4.55年,无权,15.50%,11.70%,400,2584,2.24%,1.49%,无权,无权,无权,101.54,6.09%,0.23,AAA,3.62%,150.12 ,139.8,38.3,1.10%,55,中信转债!
262,铁汉转债!,123004,2018/1/26,铁汉生态,300197,城市公用,生态环境,102.245,0.08%,-0.28%,3.04,-0.98%,3.7,0.40%,109.8,3.98,1.37,76.38,33.90%,转股中,3.34年,1.34年,11.70%,8.90%,8.3,71,2.20%,1.63%,0.20%,-0.13%,95.86,94.72,7.94%,0.2,AA,4.62%,136.15 ,128.1,32.2,6.90%,29,铁汉转债!
167,大业转债!,113535,2019/6/3,大业股份,603278,汽车,零部件制,104.51,-0.58%,-0.04%,9.08,-2.89%,11,2.20%,113.1,12.4,1.65,73.23,42.70%,转股中,3.73年,1.73年,19.00%,13.90%,5,26,2.17%,1.52%,-1.36%,-1.55%,93.53,95.77,9.13%,0.22,AA,4.62%,147.21 ,135.8,40,6.00%,49,大业转债!
